#Legenda: 1)L 2)p 3)M 4)Percola/non percola 5)m2 6)#cluster 9)Taglia cluster percolante 10)Somma taglie cluster non percolanti 11)t
100 0.01 100 0 110 96 0 10000 4 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 100 100 0 10000 0 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 100 100 0 10000 0 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 100 100 0 10000 0 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 108 96 0 10000 4 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 108 96 0 10000 4 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 110 95 0 10000 5 
100 0.01 100 0 100 100 0 10000 0 
100 0.01 100 0 108 96 0 10000 4 
100 0.01 100 0 114 93 0 10000 7 
100 0.01 100 0 100 100 0 10000 0 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 104 98 0 10000 2 
100 0.01 100 0 106 98 0 10000 2 
100 0.01 100 0 102 99 0 10000 1 
100 0.01 100 0 106 97 0 10000 3 
100 0.01 100 0 102 99 0 10000 1 
