-1    1    1    -1    -1    -1    6    6    6    6    



10    -1    1    -1    1    1    -1    -1    6    -1    



10    -1    1    1    1    -1    -1    27    -1    -1    



-1    -1    1    -1    1    1    1    -1    38    38    



1    1    1    1    -1    1    1    -1    38    -1    



-1    -1    -1    -1    -1    -1    -1    -1    38    38    



-1    1    1    -1    -1    -1    66    66    -1    -1    



1    1    -1    -1    -1    -1    66    66    -1    1    



1    1    -1    -1    6    6    -1    -1    -1    -1    



-1    1    -1    6    6    6    6    -1    -1    6    



