#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.01
#E' stato utilizzato l'algoritmo di Eulero
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
24.61 -0.213681 5.20201 1.09214 27.1979
24.62 -0.161661 5.20842 1.09277 27.206
24.63 -0.109577 5.21327 1.0934 27.2142
24.64 -0.0574441 5.21656 1.09403 27.2224
24.65 -0.00527855 5.21828 1.09466 27.2305
24.66 0.0469042 5.21844 1.09528 27.2387
24.67 0.0990886 5.21703 1.09591 27.2469
24.68 0.151259 5.21406 1.09654 27.255
24.69 0.203399 5.20952 1.09717 27.2632
24.7 0.255495 5.20342 1.0978 27.2714
24.71 0.307529 5.19575 1.09843 27.2796
24.72 0.359486 5.18653 1.09906 27.2878
24.73 0.411352 5.17574 1.09969 27.2959
24.74 0.463109 5.1634 1.10032 27.3041
24.75 0.514743 5.14951 1.10095 27.3123
24.76 0.566238 5.13407 1.10158 27.3205
24.77 0.617579 5.11708 1.10221 27.3287
24.78 0.66875 5.09855 1.10284 27.3369
24.79 0.719735 5.07849 1.10347 27.3451
24.8 0.77052 5.0569 1.1041 27.3533
24.81 0.821089 5.03378 1.10473 27.3615
24.82 0.871427 5.00915 1.10536 27.3697
24.83 0.921518 4.98301 1.106 27.3779
24.84 0.971348 4.95536 1.10663 27.3862
24.85 1.0209 4.92622 1.10726 27.3944
24.86 1.07016 4.89559 1.10789 27.4026
24.87 1.11912 4.86349 1.10852 27.4108
24.88 1.16776 4.82991 1.10916 27.419
24.89 1.21605 4.79488 1.10979 27.4273
24.9 1.264 4.7584 1.11042 27.4355
24.91 1.31159 4.72048 1.11106 27.4437
24.92 1.35879 4.68113 1.11169 27.452
24.93 1.4056 4.64037 1.11232 27.4602
24.94 1.45201 4.5982 1.11296 27.4684
24.95 1.49799 4.55464 1.11359 27.4767
24.96 1.54354 4.5097 1.11422 27.4849
24.97 1.58863 4.4634 1.11486 27.4932
24.98 1.63327 4.41574 1.11549 27.5014
24.99 1.67742 4.36674 1.11613 27.5097
25 1.72109 4.31642 1.11676 27.5179
25.01 1.76426 4.26478 1.1174 27.5262
25.02 1.8069 4.21186 1.11803 27.5344
25.03 1.84902 4.15765 1.11867 27.5427
25.04 1.8906 4.10218 1.1193 27.5509
25.05 1.93162 4.04546 1.11994 27.5592
25.06 1.97207 3.98751 1.12057 27.5675
25.07 2.01195 3.92835 1.12121 27.5757
25.08 2.05123 3.86799 1.12185 27.584
25.09 2.08991 3.80645 1.12248 27.5923
25.1 2.12798 3.74376 1.12312 27.6006
25.11 2.16541 3.67992 1.12376 27.6089
25.12 2.20221 3.61495 1.12439 27.6171
25.13 2.23836 3.54889 1.12503 27.6254
25.14 2.27385 3.48174 1.12567 27.6337
25.15 2.30867 3.41352 1.12631 27.642
25.16 2.34281 3.34426 1.12695 27.6503
25.17 2.37625 3.27398 1.12758 27.6586
25.18 2.40899 3.20269 1.12822 27.6669
25.19 2.44101 3.13042 1.12886 27.6752
25.2 2.47232 3.05719 1.1295 27.6835
25.21 2.50289 2.98302 1.13014 27.6918
25.22 2.53272 2.90793 1.13078 27.7001
25.23 2.5618 2.83195 1.13142 27.7084
25.24 2.59012 2.7551 1.13206 27.7167
25.25 2.61767 2.67739 1.13269 27.725
25.26 2.64444 2.59886 1.13333 27.7334
25.27 2.67043 2.51953 1.13397 27.7417
25.28 2.69563 2.43942 1.13461 27.75
25.29 2.72002 2.35855 1.13526 27.7583
25.3 2.74361 2.27695 1.1359 27.7666
25.31 2.76638 2.19464 1.13654 27.775
25.32 2.78832 2.11165 1.13718 27.7833
25.33 2.80944 2.028 1.13782 27.7916
25.34 2.82972 1.94372 1.13846 27.8
25.35 2.84916 1.85882 1.1391 27.8083
25.36 2.86775 1.77335 1.13974 27.8167
25.37 2.88548 1.68732 1.14039 27.825
25.38 2.90235 1.60075 1.14103 27.8334
25.39 2.91836 1.51368 1.14167 27.8417
25.4 2.9335 1.42613 1.14231 27.8501
25.41 2.94776 1.33813 1.14295 27.8584
25.42 2.96114 1.24969 1.1436 27.8668
25.43 2.97364 1.16086 1.14424 27.8751
25.44 2.98524 1.07165 1.14488 27.8835
25.45 2.99596 0.982093 1.14553 27.8919
25.46 3.00578 0.892214 1.14617 27.9002
25.47 3.0147 0.80204 1.14682 27.9086
25.48 3.02272 0.711599 1.14746 27.917
25.49 3.02984 0.620917 1.1481 27.9253
25.5 3.03605 0.530022 1.14875 27.9337
25.51 3.04135 0.438941 1.14939 27.9421
25.52 3.04574 0.3477 1.15004 27.9505
25.53 3.04922 0.256328 1.15068 27.9589
25.54 3.05178 0.164852 1.15133 27.9673
25.55 3.05343 0.0732981 1.15197 27.9756
25.56 3.05416 -0.0183047 1.15262 27.984
25.57 3.05398 -0.10993 1.15326 27.9924
25.58 3.05288 -0.201549 1.15391 28.0008
25.59 3.05086 -0.293135 1.15456 28.0092
25.6 3.04793 -0.384661 1.1552 28.0176
25.61 3.04409 -0.476099 1.15585 28.026
25.62 3.03932 -0.567422 1.1565 28.0344
25.63 3.03365 -0.658601 1.15714 28.0429
25.64 3.02706 -0.749611 1.15779 28.0513
25.65 3.01957 -0.840423 1.15844 28.0597
25.66 3.01116 -0.93101 1.15909 28.0681
25.67 3.00185 -1.02134 1.15973 28.0765
25.68 2.99164 -1.1114 1.16038 28.0849
25.69 2.98053 -1.20115 1.16103 28.0934
25.7 2.96851 -1.29057 1.16168 28.1018
25.71 2.95561 -1.37962 1.16233 28.1102
25.72 2.94181 -1.46829 1.16297 28.1187
25.73 2.92713 -1.55654 1.16362 28.1271
25.74 2.91156 -1.64436 1.16427 28.1355
25.75 2.89512 -1.7317 1.16492 28.144
25.76 2.8778 -1.81856 1.16557 28.1524
25.77 2.85962 -1.90489 1.16622 28.1609
25.78 2.84057 -1.99068 1.16687 28.1693
25.79 2.82066 -2.0759 1.16752 28.1778
25.8 2.7999 -2.16052 1.16817 28.1862
25.81 2.7783 -2.24451 1.16882 28.1947
25.82 2.75585 -2.32786 1.16947 28.2031
25.83 2.73257 -2.41054 1.17012 28.2116
25.84 2.70847 -2.49252 1.17077 28.2201
25.85 2.68354 -2.57377 1.17143 28.2285
25.86 2.65781 -2.65428 1.17208 28.237
25.87 2.63126 -2.73401 1.17273 28.2455
25.88 2.60392 -2.81295 1.17338 28.2539
25.89 2.57579 -2.89107 1.17403 28.2624
25.9 2.54688 -2.96834 1.17468 28.2709
25.91 2.5172 -3.04475 1.17534 28.2794
25.92 2.48675 -3.12026 1.17599 28.2879
25.93 2.45555 -3.19487 1.17664 28.2963
25.94 2.4236 -3.26853 1.1773 28.3048
25.95 2.39092 -3.34124 1.17795 28.3133
25.96 2.3575 -3.41297 1.1786 28.3218
25.97 2.32337 -3.48369 1.17926 28.3303
25.98 2.28854 -3.55339 1.17991 28.3388
25.99 2.253 -3.62205 1.18056 28.3473
26 2.21678 -3.68964 1.18122 28.3558
26.01 2.17989 -3.75614 1.18187 28.3643
26.02 2.14232 -3.82154 1.18253 28.3728
26.03 2.10411 -3.88581 1.18318 28.3814
26.04 2.06525 -3.94893 1.18384 28.3899
26.05 2.02576 -4.01089 1.18449 28.3984
26.06 1.98565 -4.07166 1.18515 28.4069
26.07 1.94494 -4.13123 1.1858 28.4154
26.08 1.90362 -4.18958 1.18646 28.4239
26.09 1.86173 -4.24669 1.18711 28.4325
26.1 1.81926 -4.30254 1.18777 28.441
26.11 1.77624 -4.35712 1.18843 28.4495
26.12 1.73266 -4.41041 1.18908 28.4581
26.13 1.68856 -4.46239 1.18974 28.4666
26.14 1.64394 -4.51304 1.1904 28.4751
26.15 1.59881 -4.56236 1.19105 28.4837
26.16 1.55318 -4.61033 1.19171 28.4922
26.17 1.50708 -4.65692 1.19237 28.5008
26.18 1.46051 -4.70213 1.19303 28.5093
26.19 1.41349 -4.74595 1.19368 28.5179
26.2 1.36603 -4.78835 1.19434 28.5264
26.21 1.31815 -4.82933 1.195 28.535
26.22 1.26985 -4.86888 1.19566 28.5436
26.23 1.22116 -4.90697 1.19632 28.5521
26.24 1.17209 -4.94361 1.19698 28.5607
26.25 1.12266 -4.97877 1.19764 28.5693
26.26 1.07287 -5.01245 1.19829 28.5778
26.27 1.02275 -5.04464 1.19895 28.5864
26.28 0.972299 -5.07532 1.19961 28.595
26.29 0.921546 -5.10449 1.20027 28.6036
26.3 0.870501 -5.13214 1.20093 28.6121
26.31 0.81918 -5.15825 1.20159 28.6207
26.32 0.767597 -5.18283 1.20225 28.6293
26.33 0.715769 -5.20585 1.20292 28.6379
26.34 0.66371 -5.22733 1.20358 28.6465
26.35 0.611437 -5.24724 1.20424 28.6551
26.36 0.558965 -5.26558 1.2049 28.6637
26.37 0.506309 -5.28235 1.20556 28.6723
26.38 0.453485 -5.29754 1.20622 28.6809
26.39 0.40051 -5.31114 1.20688 28.6895
26.4 0.347399 -5.32316 1.20755 28.6981
26.41 0.294167 -5.33358 1.20821 28.7067
26.42 0.240831 -5.34241 1.20887 28.7153
26.43 0.187407 -5.34963 1.20953 28.7239
26.44 0.133911 -5.35525 1.2102 28.7325
26.45 0.0803583 -5.35927 1.21086 28.7412
26.46 0.0267655 -5.36168 1.21152 28.7498
26.47 -0.0268513 -5.36249 1.21219 28.7584
26.48 -0.0804761 -5.36168 1.21285 28.767
26.49 -0.134093 -5.35927 1.21351 28.7757
26.5 -0.187686 -5.35524 1.21418 28.7843
26.51 -0.241238 -5.34961 1.21484 28.7929
26.52 -0.294734 -5.34237 1.21551 28.8016
26.53 -0.348158 -5.33353 1.21617 28.8102
26.54 -0.401493 -5.32309 1.21684 28.8189
26.55 -0.454724 -5.31104 1.2175 28.8275
26.56 -0.507835 -5.2974 1.21817 28.8362
26.57 -0.560809 -5.28217 1.21883 28.8448
26.58 -0.61363 -5.26534 1.2195 28.8535
26.59 -0.666284 -5.24693 1.22016 28.8621
26.6 -0.718753 -5.22694 1.22083 28.8708
26.61 -0.771022 -5.20538 1.22149 28.8794
26.62 -0.823076 -5.18225 1.22216 28.8881
26.63 -0.874899 -5.15756 1.22283 28.8968
26.64 -0.926474 -5.13131 1.22349 28.9054
26.65 -0.977787 -5.10352 1.22416 28.9141
26.66 -1.02882 -5.07418 1.22483 28.9228
26.67 -1.07956 -5.04332 1.2255 28.9315
26.68 -1.13 -5.01093 1.22616 28.9401
26.69 -1.18011 -4.97703 1.22683 28.9488
26.7 -1.22988 -4.94163 1.2275 28.9575
26.71 -1.27929 -4.90473 1.22817 28.9662
26.72 -1.32834 -4.86635 1.22884 28.9749
26.73 -1.377 -4.8265 1.22951 28.9836
26.74 -1.42527 -4.78519 1.23017 28.9923
26.75 -1.47312 -4.74244 1.23084 29.001
26.76 -1.52055 -4.69824 1.23151 29.0097
26.77 -1.56753 -4.65263 1.23218 29.0184
26.78 -1.61405 -4.6056 1.23285 29.0271
26.79 -1.66011 -4.55718 1.23352 29.0358
26.8 -1.70568 -4.50738 1.23419 29.0445
26.81 -1.75076 -4.4562 1.23486 29.0532
26.82 -1.79532 -4.40368 1.23553 29.0619
26.83 -1.83935 -4.34982 1.2362 29.0706
26.84 -1.88285 -4.29464 1.23687 29.0794
26.85 -1.9258 -4.23816 1.23754 29.0881
26.86 -1.96818 -4.18038 1.23822 29.0968
26.87 -2.00999 -4.12134 1.23889 29.1055
26.88 -2.0512 -4.06104 1.23956 29.1143
26.89 -2.09181 -3.9995 1.24023 29.123
26.9 -2.1318 -3.93675 1.2409 29.1317
26.91 -2.17117 -3.87279 1.24158 29.1405
26.92 -2.2099 -3.80766 1.24225 29.1492
26.93 -2.24798 -3.74136 1.24292 29.158
26.94 -2.28539 -3.67392 1.24359 29.1667
26.95 -2.32213 -3.60536 1.24427 29.1755
26.96 -2.35818 -3.5357 1.24494 29.1842
26.97 -2.39354 -3.46495 1.24561 29.193
26.98 -2.42819 -3.39314 1.24629 29.2017
26.99 -2.46212 -3.3203 1.24696 29.2105
27 -2.49532 -3.24644 1.24763 29.2193
27.01 -2.52779 -3.17158 1.24831 29.228
27.02 -2.5595 -3.09574 1.24898 29.2368
27.03 -2.59046 -3.01896 1.24966 29.2456
27.04 -2.62065 -2.94124 1.25033 29.2543
27.05 -2.65006 -2.86262 1.25101 29.2631
27.06 -2.67869 -2.78312 1.25168 29.2719
27.07 -2.70652 -2.70276 1.25236 29.2807
27.08 -2.73355 -2.62157 1.25303 29.2895
27.09 -2.75976 -2.53956 1.25371 29.2982
27.1 -2.78516 -2.45677 1.25439 29.307
27.11 -2.80973 -2.37321 1.25506 29.3158
27.12 -2.83346 -2.28892 1.25574 29.3246
27.13 -2.85635 -2.20392 1.25642 29.3334
27.14 -2.87839 -2.11823 1.25709 29.3422
27.15 -2.89957 -2.03187 1.25777 29.351
27.16 -2.91989 -1.94489 1.25845 29.3598
27.17 -2.93934 -1.85729 1.25913 29.3686
27.18 -2.95791 -1.76911 1.2598 29.3774
27.19 -2.9756 -1.68037 1.26048 29.3863
27.2 -2.9924 -1.5911 1.26116 29.3951
27.21 -3.00832 -1.50133 1.26184 29.4039
27.22 -3.02333 -1.41108 1.26252 29.4127
27.23 -3.03744 -1.32038 1.26319 29.4215
27.24 -3.05064 -1.22926 1.26387 29.4304
27.25 -3.06294 -1.13774 1.26455 29.4392
27.26 -3.07431 -1.04585 1.26523 29.448
27.27 -3.08477 -0.953623 1.26591 29.4569
27.28 -3.09431 -0.86108 1.26659 29.4657
27.29 -3.10292 -0.768251 1.26727 29.4745
27.3 -3.1106 -0.675163 1.26795 29.4834
27.31 -3.11735 -0.581845 1.26863 29.4922
27.32 -3.12317 -0.488324 1.26931 29.5011
27.33 -3.12806 -0.394629 1.26999 29.5099
27.34 -3.132 -0.300788 1.27067 29.5188
27.35 -3.13501 -0.206828 1.27136 29.5276
27.36 -3.13708 -0.112777 1.27204 29.5365
27.37 -3.13821 -0.018665 1.27272 29.5453
27.38 -3.13839 0.0754812 1.2734 29.5542
27.39 -3.13764 0.169633 1.27408 29.5631
27.4 -3.13594 0.263762 1.27476 29.5719
27.41 -3.1333 0.35784 1.27545 29.5808
27.42 -3.12972 0.451839 1.27613 29.5897
27.43 -3.12521 0.545731 1.27681 29.5986
27.44 -3.11975 0.639487 1.2775 29.6074
27.45 -3.11335 0.73308 1.27818 29.6163
27.46 -3.10602 0.82648 1.27886 29.6252
27.47 -3.09776 0.919661 1.27955 29.6341
27.48 -3.08856 1.01259 1.28023 29.643
27.49 -3.07844 1.10525 1.28091 29.6519
27.5 -3.06738 1.1976 1.2816 29.6608
27.51 -3.05541 1.28963 1.28228 29.6697
27.52 -3.04251 1.38129 1.28297 29.6786
27.53 -3.0287 1.47256 1.28365 29.6875
27.54 -3.01397 1.56342 1.28434 29.6964
27.55 -2.99834 1.65384 1.28502 29.7053
27.56 -2.9818 1.74379 1.28571 29.7142
27.57 -2.96436 1.83325 1.28639 29.7231
27.58 -2.94603 1.92218 1.28708 29.732
27.59 -2.92681 2.01056 1.28777 29.741
27.6 -2.9067 2.09836 1.28845 29.7499
27.61 -2.88572 2.18556 1.28914 29.7588
27.62 -2.86386 2.27214 1.28983 29.7677
27.63 -2.84114 2.35805 1.29051 29.7767
27.64 -2.81756 2.44329 1.2912 29.7856
27.65 -2.79313 2.52781 1.29189 29.7945
27.66 -2.76785 2.61161 1.29257 29.8035
27.67 -2.74173 2.69464 1.29326 29.8124
27.68 -2.71479 2.77689 1.29395 29.8214
27.69 -2.68702 2.85834 1.29464 29.8303
27.7 -2.65844 2.93895 1.29533 29.8393
27.71 -2.62905 3.0187 1.29602 29.8482
27.72 -2.59886 3.09757 1.2967 29.8572
27.73 -2.56788 3.17554 1.29739 29.8661
27.74 -2.53613 3.25258 1.29808 29.8751
27.75 -2.5036 3.32866 1.29877 29.884
27.76 -2.47032 3.40377 1.29946 29.893
27.77 -2.43628 3.47788 1.30015 29.902
27.78 -2.4015 3.55096 1.30084 29.9109
27.79 -2.36599 3.62301 1.30153 29.9199
27.8 -2.32976 3.69399 1.30222 29.9289
27.81 -2.29282 3.76388 1.30291 29.9379
27.82 -2.25518 3.83267 1.3036 29.9469
27.83 -2.21685 3.90032 1.3043 29.9558
27.84 -2.17785 3.96683 1.30499 29.9648
27.85 -2.13818 4.03216 1.30568 29.9738
27.86 -2.09786 4.09631 1.30637 29.9828
27.87 -2.0569 4.15924 1.30706 29.9918
27.88 -2.01531 4.22095 1.30775 30.0008
27.89 -1.9731 4.28141 1.30845 30.0098
27.9 -1.93028 4.3406 1.30914 30.0188
27.91 -1.88688 4.39851 1.30983 30.0278
27.92 -1.84289 4.45512 1.31052 30.0368
27.93 -1.79834 4.5104 1.31122 30.0458
27.94 -1.75324 4.56436 1.31191 30.0548
27.95 -1.70759 4.61695 1.3126 30.0639
27.96 -1.66142 4.66818 1.3133 30.0729
27.97 -1.61474 4.71802 1.31399 30.0819
27.98 -1.56756 4.76646 1.31469 30.0909
27.99 -1.5199 4.81349 1.31538 30.0999
28 -1.47176 4.85909 1.31608 30.109
28.01 -1.42317 4.90324 1.31677 30.118
28.02 -1.37414 4.94594 1.31747 30.127
28.03 -1.32468 4.98716 1.31816 30.1361
28.04 -1.27481 5.0269 1.31886 30.1451
28.05 -1.22454 5.06514 1.31955 30.1542
28.06 -1.17389 5.10188 1.32025 30.1632
28.07 -1.12287 5.1371 1.32094 30.1723
28.08 -1.0715 5.17078 1.32164 30.1813
28.09 -1.01979 5.20293 1.32234 30.1904
28.1 -0.967759 5.23352 1.32303 30.1994
28.11 -0.915424 5.26255 1.32373 30.2085
28.12 -0.862798 5.29002 1.32443 30.2175
28.13 -0.809898 5.3159 1.32512 30.2266
28.14 -0.756739 5.3402 1.32582 30.2357
28.15 -0.703337 5.3629 1.32652 30.2448
28.16 -0.649708 5.384 1.32722 30.2538
28.17 -0.595868 5.40349 1.32792 30.2629
28.18 -0.541833 5.42137 1.32861 30.272
28.19 -0.487619 5.43762 1.32931 30.2811
28.2 -0.433243 5.45225 1.33001 30.2901
28.21 -0.378721 5.46525 1.33071 30.2992
28.22 -0.324068 5.47661 1.33141 30.3083
28.23 -0.269302 5.48633 1.33211 30.3174
28.24 -0.214439 5.49441 1.33281 30.3265
28.25 -0.159495 5.50084 1.33351 30.3356
28.26 -0.104486 5.50563 1.33421 30.3447
28.27 -0.0494298 5.50876 1.33491 30.3538
28.28 0.00565786 5.51025 1.33561 30.3629
28.29 0.0607603 5.51008 1.33631 30.372
28.3 0.115861 5.50825 1.33701 30.3811
28.31 0.170944 5.50478 1.33771 30.3903
28.32 0.225991 5.49965 1.33841 30.3994
28.33 0.280988 5.49287 1.33911 30.4085
28.34 0.335917 5.48444 1.33982 30.4176
28.35 0.390761 5.47436 1.34052 30.4267
28.36 0.445505 5.46264 1.34122 30.4359
28.37 0.500131 5.44928 1.34192 30.445
28.38 0.554624 5.43427 1.34263 30.4541
28.39 0.608967 5.41763 1.34333 30.4633
28.4 0.663143 5.39936 1.34403 30.4724
28.41 0.717137 5.37947 1.34473 30.4815
28.42 0.770931 5.35796 1.34544 30.4907
28.43 0.824511 5.33483 1.34614 30.4998
28.44 0.877859 5.31009 1.34685 30.509
28.45 0.93096 5.28376 1.34755 30.5181
28.46 0.983798 5.25583 1.34825 30.5273
28.47 1.03636 5.22631 1.34896 30.5365
28.48 1.08862 5.19522 1.34966 30.5456
28.49 1.14057 5.16256 1.35037 30.5548
28.5 1.1922 5.12835 1.35107 30.5639
28.51 1.24348 5.09258 1.35178 30.5731
28.52 1.29441 5.05528 1.35248 30.5823
28.53 1.34496 5.01644 1.35319 30.5915
28.54 1.39512 4.9761 1.3539 30.6006
28.55 1.44488 4.93424 1.3546 30.6098
28.56 1.49423 4.8909 1.35531 30.619
28.57 1.54314 4.84607 1.35601 30.6282
28.58 1.5916 4.79978 1.35672 30.6374
28.59 1.63959 4.75203 1.35743 30.6466
28.6 1.68711 4.70284 1.35814 30.6558
28.61 1.73414 4.65223 1.35884 30.665
28.62 1.78067 4.6002 1.35955 30.6742
28.63 1.82667 4.54678 1.36026 30.6834
28.64 1.87213 4.49198 1.36097 30.6926
28.65 1.91705 4.43582 1.36167 30.7018
28.66 1.96141 4.37831 1.36238 30.711
28.67 2.0052 4.31946 1.36309 30.7202
28.68 2.04839 4.25931 1.3638 30.7294
28.69 2.09098 4.19786 1.36451 30.7386
28.7 2.13296 4.13513 1.36522 30.7479
28.71 2.17431 4.07114 1.36593 30.7571
28.72 2.21502 4.00591 1.36664 30.7663
28.73 2.25508 3.93946 1.36735 30.7755
28.74 2.29448 3.8718 1.36806 30.7848
28.75 2.3332 3.80297 1.36877 30.794
28.76 2.37123 3.73297 1.36948 30.8032
28.77 2.40856 3.66184 1.37019 30.8125
28.78 2.44517 3.58958 1.3709 30.8217
28.79 2.48107 3.51623 1.37161 30.831
28.8 2.51623 3.44179 1.37232 30.8402
28.81 2.55065 3.36631 1.37304 30.8495
28.82 2.58431 3.28979 1.37375 30.8587
28.83 2.61721 3.21226 1.37446 30.868
28.84 2.64933 3.13374 1.37517 30.8772
28.85 2.68067 3.05426 1.37589 30.8865
28.86 2.71121 2.97384 1.3766 30.8958
28.87 2.74095 2.89251 1.37731 30.905
28.88 2.76988 2.81028 1.37802 30.9143
28.89 2.79798 2.72718 1.37874 30.9236
28.9 2.82525 2.64324 1.37945 30.9329
28.91 2.85168 2.55848 1.38017 30.9421
28.92 2.87727 2.47293 1.38088 30.9514
28.93 2.902 2.38661 1.38159 30.9607
28.94 2.92586 2.29955 1.38231 30.97
28.95 2.94886 2.21178 1.38302 30.9793
28.96 2.97098 2.12331 1.38374 30.9886
28.97 2.99221 2.03418 1.38445 30.9979
28.98 3.01255 1.94442 1.38517 31.0072
28.99 3.032 1.85404 1.38588 31.0165
29 3.05054 1.76308 1.3866 31.0258
29.01 3.06817 1.67156 1.38732 31.0351
29.02 3.08488 1.57952 1.38803 31.0444
29.03 3.10068 1.48697 1.38875 31.0537
29.04 3.11555 1.39395 1.38946 31.063
29.05 3.12949 1.30049 1.39018 31.0724
29.06 3.14249 1.2066 1.3909 31.0817
29.07 3.15456 1.11233 1.39162 31.091
29.08 3.16568 1.01769 1.39233 31.1003
29.09 3.17586 0.922719 1.39305 31.1097
29.1 3.18509 0.827444 1.39377 31.119
29.11 3.19336 0.731891 1.39449 31.1283
29.12 3.20068 0.63609 1.39521 31.1377
29.13 3.20704 0.54007 1.39592 31.147
29.14 3.21244 0.443859 1.39664 31.1564
29.15 3.21688 0.347485 1.39736 31.1657
29.16 3.22036 0.250979 1.39808 31.1751
29.17 3.22286 0.154368 1.3988 31.1844
29.18 3.22441 0.0576823 1.39952 31.1938
29.19 3.22499 -0.0390499 1.40024 31.2031
29.2 3.22459 -0.135799 1.40096 31.2125
29.21 3.22324 -0.232537 1.40168 31.2218
29.22 3.22091 -0.329234 1.4024 31.2312
29.23 3.21762 -0.425862 1.40312 31.2406
29.24 3.21336 -0.52239 1.40384 31.25
29.25 3.20814 -0.618791 1.40456 31.2593
29.26 3.20195 -0.715035 1.40528 31.2687
29.27 3.1948 -0.811094 1.40601 31.2781
29.28 3.18669 -0.906938 1.40673 31.2875
29.29 3.17762 -1.00254 1.40745 31.2969
29.3 3.16759 -1.09787 1.40817 31.3062
29.31 3.15661 -1.19289 1.40889 31.3156
29.32 3.14469 -1.28759 1.40962 31.325
29.33 3.13181 -1.38193 1.41034 31.3344
29.34 3.11799 -1.47589 1.41106 31.3438
29.35 3.10323 -1.56943 1.41179 31.3532
29.36 3.08754 -1.66252 1.41251 31.3626
29.37 3.07091 -1.75515 1.41323 31.372
29.38 3.05336 -1.84728 1.41396 31.3815
29.39 3.03489 -1.93888 1.41468 31.3909
29.4 3.0155 -2.02993 1.41541 31.4003
29.41 2.9952 -2.12039 1.41613 31.4097
29.42 2.974 -2.21025 1.41686 31.4191
29.43 2.95189 -2.29947 1.41758 31.4286
29.44 2.9289 -2.38802 1.41831 31.438
29.45 2.90502 -2.47589 1.41903 31.4474
29.46 2.88026 -2.56304 1.41976 31.4569
29.47 2.85463 -2.64945 1.42048 31.4663
29.48 2.82813 -2.73509 1.42121 31.4757
29.49 2.80078 -2.81993 1.42194 31.4852
29.5 2.77258 -2.90395 1.42266 31.4946
29.51 2.74354 -2.98713 1.42339 31.5041
29.52 2.71367 -3.06944 1.42412 31.5135
29.53 2.68298 -3.15085 1.42484 31.523
29.54 2.65147 -3.23134 1.42557 31.5324
29.55 2.61916 -3.31088 1.4263 31.5419
29.56 2.58605 -3.38946 1.42703 31.5513
29.57 2.55215 -3.46704 1.42775 31.5608
29.58 2.51748 -3.5436 1.42848 31.5703
29.59 2.48205 -3.61913 1.42921 31.5798
29.6 2.44586 -3.69359 1.42994 31.5892
29.61 2.40892 -3.76696 1.43067 31.5987
29.62 2.37125 -3.83923 1.4314 31.6082
29.63 2.33286 -3.91037 1.43213 31.6177
29.64 2.29375 -3.98036 1.43286 31.6272
29.65 2.25395 -4.04917 1.43359 31.6366
29.66 2.21346 -4.11679 1.43432 31.6461
29.67 2.17229 -4.18319 1.43505 31.6556
29.68 2.13046 -4.24836 1.43578 31.6651
29.69 2.08798 -4.31227 1.43651 31.6746
29.7 2.04485 -4.37491 1.43724 31.6841
29.71 2.0011 -4.43626 1.43797 31.6936
29.72 1.95674 -4.49629 1.4387 31.7031
29.73 1.91178 -4.55499 1.43943 31.7126
29.74 1.86623 -4.61235 1.44017 31.7222
29.75 1.8201 -4.66833 1.4409 31.7317
29.76 1.77342 -4.72294 1.44163 31.7412
29.77 1.72619 -4.77614 1.44236 31.7507
29.78 1.67843 -4.82792 1.4431 31.7602
29.79 1.63015 -4.87828 1.44383 31.7698
29.8 1.58137 -4.92718 1.44456 31.7793
29.81 1.5321 -4.97462 1.4453 31.7888
29.82 1.48235 -5.02059 1.44603 31.7984
29.83 1.43214 -5.06506 1.44676 31.8079
29.84 1.38149 -5.10802 1.4475 31.8175
29.85 1.33041 -5.14947 1.44823 31.827
29.86 1.27892 -5.18938 1.44897 31.8366
29.87 1.22703 -5.22775 1.4497 31.8461
29.88 1.17475 -5.26456 1.45044 31.8557
29.89 1.1221 -5.2998 1.45117 31.8652
29.9 1.0691 -5.33346 1.45191 31.8748
29.91 1.01577 -5.36554 1.45264 31.8843
29.92 0.962115 -5.39601 1.45338 31.8939
29.93 0.908155 -5.42487 1.45411 31.9035
29.94 0.853906 -5.45212 1.45485 31.913
29.95 0.799385 -5.47773 1.45559 31.9226
29.96 0.744607 -5.50172 1.45632 31.9322
29.97 0.68959 -5.52405 1.45706 31.9418
29.98 0.63435 -5.54474 1.4578 31.9514
29.99 0.578902 -5.56377 1.45853 31.9609
30 0.523265 -5.58114 1.45927 31.9705
30.01 0.467453 -5.59684 1.46001 31.9801
30.02 0.411485 -5.61086 1.46075 31.9897
30.03 0.355376 -5.6232 1.46149 31.9993
30.04 0.299144 -5.63387 1.46222 32.0089
30.05 0.242805 -5.64284 1.46296 32.0185
30.06 0.186377 -5.65012 1.4637 32.0281
30.07 0.129876 -5.65572 1.46444 32.0377
30.08 0.0733187 -5.65961 1.46518 32.0473
30.09 0.0167226 -5.66181 1.46592 32.0569
30.1 -0.0398956 -5.66231 1.46666 32.0666
30.11 -0.0965187 -5.66112 1.4674 32.0762
30.12 -0.15313 -5.65822 1.46814 32.0858
30.13 -0.209712 -5.65363 1.46888 32.0954
30.14 -0.266248 -5.64734 1.46962 32.1051
30.15 -0.322722 -5.63935 1.47036 32.1147
30.16 -0.379115 -5.62967 1.4711 32.1243
30.17 -0.435412 -5.61829 1.47184 32.134
30.18 -0.491595 -5.60523 1.47259 32.1436
30.19 -0.547647 -5.59048 1.47333 32.1532
