#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.01
#E' stato utilizzato l'algoritmo di Eulero
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
1.03 0.14364 -3.65322 0.0313776 13.4079
1.04 0.107108 -3.65753 0.031687 13.4119
1.05 0.0705329 -3.66074 0.0319965 13.416
1.06 0.0339255 -3.66286 0.0323061 13.42
1.07 -0.00270307 -3.66388 0.0326158 13.424
1.08 -0.0393418 -3.66379 0.0329256 13.428
1.09 -0.0759798 -3.66261 0.0332355 13.4321
1.1 -0.112606 -3.66033 0.0335454 13.4361
1.11 -0.149209 -3.65696 0.0338555 13.4401
1.12 -0.185779 -3.65248 0.0341656 13.4442
1.13 -0.222304 -3.64691 0.0344759 13.4482
1.14 -0.258773 -3.64024 0.0347862 13.4522
1.15 -0.295175 -3.63247 0.0350967 13.4563
1.16 -0.3315 -3.62362 0.0354072 13.4603
1.17 -0.367736 -3.61367 0.0357178 13.4643
1.18 -0.403873 -3.60264 0.0360285 13.4684
1.19 -0.439899 -3.59053 0.0363393 13.4724
1.2 -0.475804 -3.57733 0.0366502 13.4765
1.21 -0.511578 -3.56305 0.0369612 13.4805
1.22 -0.547208 -3.54771 0.0372723 13.4845
1.23 -0.582685 -3.53129 0.0375835 13.4886
1.24 -0.617998 -3.51381 0.0378948 13.4926
1.25 -0.653136 -3.49527 0.0382062 13.4967
1.26 -0.688089 -3.47568 0.0385176 13.5007
1.27 -0.722846 -3.45503 0.0388292 13.5048
1.28 -0.757396 -3.43335 0.0391408 13.5088
1.29 -0.79173 -3.41063 0.0394526 13.5129
1.3 -0.825836 -3.38687 0.0397644 13.5169
1.31 -0.859705 -3.3621 0.0400763 13.521
1.32 -0.893326 -3.33631 0.0403884 13.525
1.33 -0.926689 -3.30951 0.0407005 13.5291
1.34 -0.959784 -3.28171 0.0410127 13.5332
1.35 -0.992601 -3.25291 0.041325 13.5372
1.36 -1.02513 -3.22314 0.0416374 13.5413
1.37 -1.05736 -3.19238 0.0419499 13.5453
1.38 -1.08929 -3.16066 0.0422625 13.5494
1.39 -1.12089 -3.12798 0.0425751 13.5535
1.4 -1.15217 -3.09436 0.0428879 13.5575
1.41 -1.18312 -3.05979 0.0432008 13.5616
1.42 -1.21371 -3.0243 0.0435137 13.5657
1.43 -1.24396 -2.98789 0.0438268 13.5697
1.44 -1.27384 -2.95057 0.0441399 13.5738
1.45 -1.30334 -2.91235 0.0444532 13.5779
1.46 -1.33246 -2.87325 0.0447665 13.582
1.47 -1.3612 -2.83328 0.0450799 13.586
1.48 -1.38953 -2.79244 0.0453935 13.5901
1.49 -1.41745 -2.75076 0.0457071 13.5942
1.5 -1.44496 -2.70823 0.0460208 13.5983
1.51 -1.47204 -2.66488 0.0463346 13.6023
1.52 -1.49869 -2.62072 0.0466485 13.6064
1.53 -1.5249 -2.57576 0.0469625 13.6105
1.54 -1.55066 -2.53002 0.0472766 13.6146
1.55 -1.57596 -2.4835 0.0475908 13.6187
1.56 -1.60079 -2.43622 0.0479051 13.6228
1.57 -1.62515 -2.38819 0.0482194 13.6269
1.58 -1.64904 -2.33944 0.0485339 13.6309
1.59 -1.67243 -2.28997 0.0488484 13.635
1.6 -1.69533 -2.23979 0.0491631 13.6391
1.61 -1.71773 -2.18893 0.0494779 13.6432
1.62 -1.73962 -2.1374 0.0497927 13.6473
1.63 -1.76099 -2.08521 0.0501076 13.6514
1.64 -1.78184 -2.03238 0.0504227 13.6555
1.65 -1.80217 -1.97893 0.0507378 13.6596
1.66 -1.82196 -1.92486 0.051053 13.6637
1.67 -1.84121 -1.87021 0.0513683 13.6678
1.68 -1.85991 -1.81497 0.0516837 13.6719
1.69 -1.87806 -1.75917 0.0519992 13.676
