#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.1
#Numero di passi di tempo diversi su cui si integra-->20
#E' stato utilizzato l'algoritmo Verlet-Velocita'
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
100 -1.9541 1.24111 -0.000314097 12.9959 -0.0314097 0.1 LAST

100 -2.04421 0.681667 7.73561e-05 13.001 0.0309424 0.05 LAST

100 -2.05835 0.538412 2.5617e-05 13.0003 0.0409872 0.025 LAST

100 -2.06136 0.502451 6.73946e-06 13.0001 0.0431326 0.0125 LAST

100 -2.06208 0.493452 1.70491e-06 13 0.0436458 0.00625 LAST

100 -2.06226 0.491202 4.27467e-07 13 0.0437727 0.003125 LAST

100 -2.0623 0.490639 1.06944e-07 13 0.0438043 0.0015625 LAST

100 -2.06231 0.490499 2.67408e-08 13 0.0438122 0.00078125 LAST

100 -2.06232 0.490464 6.68551e-09 13 0.0438141 0.000390625 LAST

100 -2.06232 0.490455 1.67133e-09 13 0.0438128 0.000195313 LAST

100 -2.06232 0.490453 4.17881e-10 13 0.043818 9.76563e-05 LAST

100 -2.06232 0.490452 1.04472e-10 13 0.0438188 4.88281e-05 LAST

100 -2.06232 0.490452 2.59445e-11 13 0.0435277 2.44141e-05 LAST

100 -2.06232 0.490452 6.22982e-12 13 0.0418076 1.2207e-05 LAST

100 -2.06232 0.490452 1.67032e-12 13 0.0448374 6.10352e-06 LAST

100 -2.06232 0.490452 2.34411e-12 13 0.251697 3.05176e-06 LAST

100 -2.06232 0.490452 -1.71269e-11 13 -7.35597 1.52588e-06 LAST

100 -2.06232 0.490452 -6.66508e-11 13 -114.505 7.62939e-07 LAST

100 -2.06232 0.490452 4.55842e-11 13 313.252 3.8147e-07 LAST

100 -2.06232 0.490452 -1.13032e-09 13 -31070 1.90735e-07 LAST

