#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.1
#Numero di passi di tempo diversi su cui si integra-->20
#E' stato utilizzato l'algoritmo Verlet-Posizioni
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
100 -1.9541 1.24111 -0.000314097 12.9959 -0.0314097 0.1 LAST

100 -2.04421 0.681667 7.73561e-05 13.001 0.0309424 0.05 LAST

100 -2.05835 0.538412 2.5617e-05 13.0003 0.0409872 0.025 LAST

100 -2.06136 0.502451 6.73946e-06 13.0001 0.0431326 0.0125 LAST

100 -2.06208 0.493452 1.70491e-06 13 0.0436458 0.00625 LAST

100 -2.06226 0.491202 4.27467e-07 13 0.0437726 0.003125 LAST

100 -2.0623 0.490639 1.06947e-07 13 0.0438054 0.0015625 LAST

100 -2.06231 0.490499 2.67463e-08 13 0.0438211 0.00078125 LAST

100 -2.06232 0.490464 6.70045e-09 13 0.0439121 0.000390625 LAST

100 -2.06232 0.490455 1.71924e-09 13 0.0450689 0.000195313 LAST

100 -2.06232 0.490453 6.59114e-10 13 0.0691131 9.76563e-05 LAST

100 -2.06232 0.490452 4.91142e-10 13 0.206 4.88281e-05 LAST

100 -2.06232 0.490452 9.78548e-10 13 1.64173 2.44141e-05 LAST

100 -2.06232 0.490452 -3.44308e-09 13 -23.1061 1.2207e-05 LAST

100 -2.06232 0.490452 -2.78514e-08 13 -747.631 6.10352e-06 LAST

100 -2.06232 0.490452 1.06159e-08 13 1139.87 3.05176e-06 LAST

100 -2.06232 0.490461 1.7745e-09 13 762.14 1.52588e-06 LAST

100 -2.06233 0.490324 1.47899e-08 13 25408.9 7.62939e-07 LAST

100 -2.06237 0.489751 2.16707e-08 13 148920 3.8147e-07 LAST

100 -2.06219 0.492077 -7.99946e-07 13 -2.19887e+07 1.90735e-07 LAST

