#Numero traiettorie utilizzate-> 1000 
#Tempo massimo-> 10000
#Legenda:
 #1)istante 2)media 3)errore sulla media 4)varianza 5)errore sulla varianza
1 -0.006000 0.031623 1.000000 0.000000
2 0.000000 0.045519 2.072000 0.065483
4 -0.032000 0.065177 4.248000 0.165795
8 -0.050000 0.090000 8.100000 0.347632
16 0.136000 0.123223 15.184000 0.642346
32 0.058000 0.171429 29.388000 1.193335
64 -0.174000 0.245398 60.220000 2.547856
128 -0.526000 0.359806 129.460000 5.524759
256 0.146000 0.518548 268.892000 12.360354
512 0.172000 0.718415 516.120000 23.351117
1024 1.948000 1.034300 1069.776000 48.119704
2048 1.746000 1.448949 2099.452000 95.743995
4096 1.200000 2.057223 4232.168000 194.051851
8192 -0.004000 2.900119 8410.688000 404.815329
