#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.005000
#E' stato utilizzato l'algoritmo Leap Frog
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 0.985000 0
0.005000 2.004925 0.969963 -0.410407
0.010000 2.009700 0.939853 -0.410368
0.015000 2.014324 0.909673 -0.410330
0.020000 2.018796 0.879425 -0.410291
0.025000 2.023118 0.849110 -0.410251
0.030000 2.027287 0.818732 -0.410212
0.035000 2.031305 0.788293 -0.410172
0.040000 2.035170 0.757794 -0.410131
0.045000 2.038883 0.727239 -0.410091
0.050000 2.042443 0.696629 -0.410050
0.055000 2.045849 0.665967 -0.410009
0.060000 2.049102 0.635255 -0.409967
0.065000 2.052202 0.604495 -0.409925
0.070000 2.055147 0.573690 -0.409883
0.075000 2.057939 0.542842 -0.409841
0.080000 2.060576 0.511953 -0.409799
0.085000 2.063058 0.481026 -0.409756
0.090000 2.065386 0.450062 -0.409713
0.095000 2.067559 0.419065 -0.409670
0.100000 2.069577 0.388037 -0.409627
0.105000 2.071439 0.356979 -0.409583
0.110000 2.073147 0.325895 -0.409540
0.115000 2.074698 0.294786 -0.409496
0.120000 2.076094 0.263655 -0.409452
0.125000 2.077335 0.232504 -0.409408
0.130000 2.078419 0.201336 -0.409364
0.135000 2.079348 0.170153 -0.409320
0.140000 2.080121 0.138957 -0.409276
0.145000 2.080738 0.107750 -0.409232
0.150000 2.081198 0.076536 -0.409188
0.155000 2.081503 0.045315 -0.409143
0.160000 2.081652 0.014092 -0.409099
0.165000 2.081644 -0.017133 -0.409055
0.170000 2.081480 -0.048356 -0.409010
0.175000 2.081160 -0.079576 -0.408966
0.180000 2.080685 -0.110790 -0.408922
0.185000 2.080053 -0.141996 -0.408878
0.190000 2.079265 -0.173190 -0.408833
0.195000 2.078321 -0.204372 -0.408789
0.200000 2.077221 -0.235539 -0.408745
0.205000 2.075965 -0.266688 -0.408702
0.210000 2.074554 -0.297817 -0.408658
0.215000 2.072987 -0.328923 -0.408614
0.220000 2.071265 -0.360005 -0.408571
0.225000 2.069387 -0.391060 -0.408527
0.230000 2.067354 -0.422086 -0.408484
0.235000 2.065166 -0.453079 -0.408441
0.240000 2.062823 -0.484039 -0.408399
0.245000 2.060326 -0.514963 -0.408356
0.250000 2.057674 -0.545848 -0.408314
0.255000 2.054867 -0.576692 -0.408272
0.260000 2.051907 -0.607493 -0.408230
0.265000 2.048792 -0.638248 -0.408188
0.270000 2.045524 -0.668955 -0.408147
0.275000 2.042103 -0.699613 -0.408106
0.280000 2.038528 -0.730217 -0.408065
0.285000 2.034801 -0.760767 -0.408025
0.290000 2.030920 -0.791260 -0.407984
0.295000 2.026888 -0.821694 -0.407945
0.300000 2.022704 -0.852066 -0.407905
0.305000 2.018367 -0.882374 -0.407866
0.310000 2.013880 -0.912616 -0.407827
0.315000 2.009241 -0.942789 -0.407789
0.320000 2.004452 -0.972892 -0.407751
0.325000 1.999512 -1.002921 -0.407713
0.330000 1.994423 -1.032876 -0.407676
0.335000 1.989184 -1.062753 -0.407640
0.340000 1.983795 -1.092550 -0.407603
0.345000 1.978258 -1.122266 -0.407567
0.350000 1.972573 -1.151897 -0.407532
0.355000 1.966739 -1.181442 -0.407497
0.360000 1.960758 -1.210898 -0.407463
0.365000 1.954630 -1.240263 -0.407429
0.370000 1.948355 -1.269536 -0.407395
0.375000 1.941935 -1.298713 -0.407362
0.380000 1.935368 -1.327793 -0.407330
0.385000 1.928657 -1.356773 -0.407298
0.390000 1.921801 -1.385651 -0.407267
0.395000 1.914800 -1.414426 -0.407236
0.400000 1.907656 -1.443094 -0.407206
0.405000 1.900369 -1.471655 -0.407176
0.410000 1.892940 -1.500104 -0.407147
0.415000 1.885368 -1.528442 -0.407118
0.420000 1.877655 -1.556664 -0.407090
0.425000 1.869802 -1.584770 -0.407063
0.430000 1.861808 -1.612757 -0.407036
0.435000 1.853674 -1.640623 -0.407010
0.440000 1.845401 -1.668367 -0.406985
0.445000 1.836990 -1.695985 -0.406960
0.450000 1.828442 -1.723475 -0.406935
0.455000 1.819756 -1.750837 -0.406912
0.460000 1.810933 -1.778067 -0.406889
0.465000 1.801975 -1.805164 -0.406867
0.470000 1.792882 -1.832125 -0.406845
0.475000 1.783654 -1.858949 -0.406824
0.480000 1.774292 -1.885634 -0.406804
0.485000 1.764797 -1.912177 -0.406784
0.490000 1.755170 -1.938577 -0.406765
0.495000 1.745412 -1.964831 -0.406747
0.500000 1.735522 -1.990938 -0.406730
0.505000 1.725502 -2.016896 -0.406713
0.510000 1.715353 -2.042702 -0.406697
0.515000 1.705075 -2.068355 -0.406682
0.520000 1.694670 -2.093853 -0.406667
0.525000 1.684137 -2.119194 -0.406653
0.530000 1.673478 -2.144377 -0.406640
0.535000 1.662693 -2.169398 -0.406628
0.540000 1.651784 -2.194256 -0.406616
0.545000 1.640750 -2.218950 -0.406605
0.550000 1.629594 -2.243478 -0.406595
0.555000 1.618316 -2.267837 -0.406585
0.560000 1.606916 -2.292027 -0.406577
0.565000 1.595395 -2.316044 -0.406569
0.570000 1.583755 -2.339888 -0.406562
0.575000 1.571996 -2.363556 -0.406555
0.580000 1.560120 -2.387047 -0.406550
0.585000 1.548126 -2.410358 -0.406545
0.590000 1.536016 -2.433489 -0.406541
0.595000 1.523791 -2.456438 -0.406537
0.600000 1.511452 -2.479202 -0.406535
0.605000 1.498999 -2.501781 -0.406533
0.610000 1.486434 -2.524171 -0.406532
0.615000 1.473757 -2.546373 -0.406531
0.620000 1.460970 -2.568383 -0.406532
0.625000 1.448074 -2.590201 -0.406533
0.630000 1.435068 -2.611825 -0.406535
0.635000 1.421955 -2.633252 -0.406538
0.640000 1.408736 -2.654483 -0.406541
0.645000 1.395410 -2.675514 -0.406546
0.650000 1.381981 -2.696344 -0.406551
0.655000 1.368447 -2.716972 -0.406557
0.660000 1.354811 -2.737397 -0.406563
0.665000 1.341073 -2.757616 -0.406570
0.670000 1.327235 -2.777628 -0.406579
0.675000 1.313297 -2.797432 -0.406587
0.680000 1.299260 -2.817026 -0.406597
0.685000 1.285126 -2.836409 -0.406607
0.690000 1.270896 -2.855579 -0.406618
0.695000 1.256571 -2.874535 -0.406630
0.700000 1.242151 -2.893276 -0.406643
0.705000 1.227638 -2.911799 -0.406656
0.710000 1.213033 -2.930104 -0.406670
0.715000 1.198337 -2.948190 -0.406685
0.720000 1.183551 -2.966054 -0.406700
0.725000 1.168676 -2.983695 -0.406717
0.730000 1.153714 -3.001113 -0.406734
0.735000 1.138665 -3.018306 -0.406751
0.740000 1.123531 -3.035273 -0.406770
0.745000 1.108312 -3.052012 -0.406789
0.750000 1.093011 -3.068521 -0.406808
0.755000 1.077627 -3.084801 -0.406829
0.760000 1.062163 -3.100850 -0.406850
0.765000 1.046619 -3.116666 -0.406871
0.770000 1.030996 -3.132248 -0.406894
0.775000 1.015296 -3.147595 -0.406917
0.780000 0.999520 -3.162706 -0.406941
0.785000 0.983669 -3.177580 -0.406965
0.790000 0.967744 -3.192215 -0.406990
0.795000 0.951747 -3.206612 -0.407016
0.800000 0.935678 -3.220767 -0.407042
0.805000 0.919539 -3.234681 -0.407069
0.810000 0.903332 -3.248353 -0.407096
0.815000 0.887056 -3.261781 -0.407124
0.820000 0.870714 -3.274964 -0.407153
0.825000 0.854306 -3.287902 -0.407182
0.830000 0.837835 -3.300593 -0.407212
