#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.100000
#E' stato utilizzato l'algoritmo Leap Frog
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 0.700000 0
0.100000 2.070000 0.389500 -0.415412
0.200000 2.077900 -0.232685 -0.397757
0.300000 2.023463 -0.847889 -0.381411
0.400000 1.908322 -1.437657 -0.368321
0.500000 1.735932 -1.984295 -0.360046
0.600000 1.511463 -2.471404 -0.357571
0.700000 1.241651 -2.884372 -0.361191
0.800000 0.934589 -3.210807 -0.370475
0.900000 0.599489 -3.440919 -0.384318
1.000000 0.246405 -3.567803 -0.401070
1.100000 -0.114071 -3.587653 -0.418736
1.200000 -0.471126 -3.499874 -0.435213
1.300000 -0.814046 -3.307098 -0.448537
1.400000 -1.132545 -3.015109 -0.457123
1.500000 -1.417068 -2.632667 -0.459947
1.600000 -1.659079 -2.171245 -0.456673
1.700000 -1.851317 -1.644686 -0.447692
1.800000 -1.988016 -1.068786 -0.434072
1.900000 -2.065074 -0.460822 -0.417436
2.000000 -2.080180 0.160966 -0.399765
2.100000 -2.032881 0.777925 -0.383164
2.200000 -1.924595 1.371547 -0.369610
2.300000 -1.758572 1.924022 -0.360717
2.400000 -1.539791 2.418776 -0.357545
2.500000 -1.274817 2.840967 -0.360471
2.600000 -0.971598 3.177929 -0.369146
2.700000 -0.639231 3.419554 -0.382539
2.800000 -0.287687 3.558591 -0.399052
2.900000 0.072488 3.590871 -0.416721
3.000000 0.430487 3.515425 -0.433439
3.100000 0.775573 3.334516 -0.447217
3.200000 1.097390 3.053571 -0.456413
3.300000 1.386287 2.681020 -0.459933
3.400000 1.633594 2.228038 -0.457356
3.500000 1.831894 1.708214 -0.448989
3.600000 1.975237 1.137145 -0.435830
3.700000 2.059323 0.531960 -0.419446
3.800000 2.081629 -0.089182 -0.401787
3.900000 2.041487 -0.707650 -0.384957
4.000000 1.940099 -1.304888 -0.370961
4.100000 1.780509 -1.862979 -0.361465
4.200000 1.567504 -2.365181 -0.357600
4.300000 1.307473 -2.796427 -0.359827
4.400000 1.008218 -3.143781 -0.367881
4.500000 0.678717 -3.396821 -0.380801
4.600000 0.328854 -3.547957 -0.397050
4.700000 -0.030875 -3.592654 -0.414692
4.800000 -0.389677 -3.529571 -0.431627
4.900000 -0.736789 -3.360601 -0.445836
5.000000 -1.061797 -3.090813 -0.455628
5.100000 -1.354952 -2.728301 -0.459836
5.200000 -1.607457 -2.283940 -0.457960
5.300000 -1.811739 -1.771060 -0.450223
5.400000 -1.961669 -1.205049 -0.437546
5.500000 -2.052749 -0.602886 -0.421439
5.600000 -2.082247 0.017363 -0.403820
5.700000 -2.049277 0.637092 -0.386789
5.800000 -1.954828 1.237708 -0.372372
5.900000 -1.801735 1.801192 -0.362288
6.000000 -1.594590 2.310641 -0.357737
6.100000 -1.339607 2.750770 -0.359262
6.200000 -1.044436 3.108377 -0.366680
6.300000 -0.717932 3.372732 -0.379109
6.400000 -0.369889 3.535905 -0.395067
