#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.030000
#E' stato utilizzato l'algoritmo Velvet Velocita'
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.030000 2.027300 0.818771 -0.409081
0.060000 2.049126 0.635332 -0.409073
0.090000 2.065420 0.450178 -0.409066
0.120000 2.076137 0.263808 -0.409062
0.150000 2.081248 0.076725 -0.409060
0.180000 2.080740 -0.110564 -0.409061
0.210000 2.074615 -0.297555 -0.409063
0.240000 2.062887 -0.483743 -0.409067
0.270000 2.045590 -0.668624 -0.409074
0.300000 2.022770 -0.851700 -0.409082
0.330000 1.994488 -1.032477 -0.409093
0.360000 1.960821 -1.210466 -0.409105
0.390000 1.921860 -1.385187 -0.409119
0.420000 1.877710 -1.556167 -0.409135
0.450000 1.828490 -1.722946 -0.409151
0.480000 1.774333 -1.885073 -0.409169
0.510000 1.715386 -2.042111 -0.409188
0.540000 1.651807 -2.193634 -0.409208
0.570000 1.583768 -2.339235 -0.409228
0.600000 1.511452 -2.478520 -0.409249
0.630000 1.435056 -2.611113 -0.409270
0.660000 1.354786 -2.736656 -0.409290
0.690000 1.270857 -2.854810 -0.409310
0.720000 1.183497 -2.965256 -0.409330
0.750000 1.092942 -3.067695 -0.409349
0.780000 0.999435 -3.161852 -0.409367
0.810000 0.903231 -3.247472 -0.409384
0.840000 0.804587 -3.324324 -0.409400
0.870000 0.703771 -3.392200 -0.409414
0.900000 0.601055 -3.450917 -0.409426
0.930000 0.496716 -3.500317 -0.409436
0.960000 0.391036 -3.540266 -0.409445
0.990000 0.284300 -3.570656 -0.409452
1.020000 0.176797 -3.591405 -0.409456
1.050000 0.068816 -3.602458 -0.409459
1.080000 -0.039351 -3.603784 -0.409459
1.110000 -0.147411 -3.595380 -0.409457
1.140000 -0.255074 -3.577268 -0.409453
1.170000 -0.362047 -3.549497 -0.409447
1.200000 -0.468043 -3.512143 -0.409439
1.230000 -0.572776 -3.465306 -0.409429
1.260000 -0.675962 -3.409113 -0.409417
1.290000 -0.777323 -3.343715 -0.409403
1.320000 -0.876585 -3.269289 -0.409388
1.350000 -0.973480 -3.186037 -0.409372
1.380000 -1.067747 -3.094181 -0.409354
1.410000 -1.159131 -2.993972 -0.409335
1.440000 -1.247385 -2.885679 -0.409316
1.470000 -1.332272 -2.769594 -0.409296
1.500000 -1.413561 -2.646032 -0.409275
1.530000 -1.491034 -2.515325 -0.409254
1.560000 -1.564480 -2.377827 -0.409234
1.590000 -1.633703 -2.233908 -0.409213
1.620000 -1.698515 -2.083959 -0.409194
1.650000 -1.758741 -1.928382 -0.409174
1.680000 -1.814218 -1.767599 -0.409156
1.710000 -1.864797 -1.602043 -0.409139
1.740000 -1.910340 -1.432162 -0.409123
1.770000 -1.950726 -1.258414 -0.409109
1.800000 -1.985845 -1.081268 -0.409096
1.830000 -2.015602 -0.901203 -0.409085
1.860000 -2.039917 -0.718705 -0.409076
1.890000 -2.058725 -0.534266 -0.409069
1.920000 -2.071973 -0.348385 -0.409064
1.950000 -2.079628 -0.161563 -0.409061
1.980000 -2.081667 0.025696 -0.409060
2.010000 -2.078086 0.212885 -0.409062
2.040000 -2.068894 0.399499 -0.409065
2.070000 -2.054116 0.585034 -0.409071
2.100000 -2.033792 0.768990 -0.409078
2.130000 -2.007977 0.950870 -0.409088
2.160000 -1.976740 1.130182 -0.409099
2.190000 -1.940166 1.306443 -0.409113
2.220000 -1.898353 1.479176 -0.409127
2.250000 -1.851415 1.647916 -0.409144
2.280000 -1.799478 1.812206 -0.409161
2.310000 -1.742683 1.971603 -0.409180
2.340000 -1.681182 2.125677 -0.409199
2.370000 -1.615142 2.274012 -0.409219
2.400000 -1.544741 2.416206 -0.409239
2.430000 -1.470170 2.551877 -0.409260
2.460000 -1.391629 2.680658 -0.409281
2.490000 -1.309330 2.802202 -0.409301
2.520000 -1.223497 2.916179 -0.409321
2.550000 -1.134360 3.022282 -0.409341
2.580000 -1.042160 3.120226 -0.409359
2.610000 -0.947146 3.209744 -0.409377
2.640000 -0.849575 3.290597 -0.409393
2.670000 -0.749710 3.362565 -0.409407
2.700000 -0.647821 3.425454 -0.409420
2.730000 -0.544183 3.479094 -0.409432
2.760000 -0.439076 3.523340 -0.409441
2.790000 -0.332783 3.558074 -0.409449
2.820000 -0.225591 3.583201 -0.409454
2.850000 -0.117791 3.598653 -0.409458
2.880000 -0.009672 3.604389 -0.409459
2.910000 0.098473 3.600393 -0.409458
2.940000 0.206352 3.586676 -0.409455
2.970000 0.313673 3.563275 -0.409450
3.000000 0.420148 3.530253 -0.409443
3.030000 0.525488 3.487699 -0.409434
3.060000 0.629410 3.435729 -0.409423
3.090000 0.731632 3.374482 -0.409410
3.120000 0.831879 3.304124 -0.409395
3.150000 0.929880 3.224845 -0.409380
3.180000 1.025370 3.136858 -0.409362
3.210000 1.118091 3.040403 -0.409344
3.240000 1.207794 2.935738 -0.409325
3.270000 1.294235 2.823147 -0.409305
3.300000 1.377183 2.702933 -0.409285
3.330000 1.456411 2.575421 -0.409264
3.360000 1.531708 2.440956 -0.409243
3.390000 1.602869 2.299900 -0.409223
3.420000 1.669702 2.152634 -0.409202
3.450000 1.732027 1.999556 -0.409183
3.480000 1.789675 1.841080 -0.409164
3.510000 1.842491 1.677632 -0.409147
3.540000 1.890333 1.509655 -0.409130
3.570000 1.933071 1.337602 -0.409115
3.600000 1.970589 1.161937 -0.409102
3.630000 2.002787 0.983135 -0.409090
3.660000 2.029577 0.801679 -0.409080
3.690000 2.050888 0.618058 -0.409072
3.720000 2.066661 0.432768 -0.409066
3.750000 2.076854 0.246310 -0.409062
3.780000 2.081439 0.059187 -0.409060
3.810000 2.080405 -0.128096 -0.409061
3.840000 2.073754 -0.315033 -0.409063
3.870000 2.061503 -0.501120 -0.409068
3.900000 2.043686 -0.685853 -0.409075
3.930000 2.020352 -0.868735 -0.409083
3.960000 1.991562 -1.049271 -0.409094
3.990000 1.957396 -1.226974 -0.409106
4.020000 1.917944 -1.401365 -0.409121
4.050000 1.873314 -1.571971 -0.409136
4.080000 1.823626 -1.738333 -0.409153
4.110000 1.769014 -1.900002 -0.409171
4.140000 1.709625 -2.056541 -0.409190
4.170000 1.645621 -2.207527 -0.409210
4.200000 1.577174 -2.352553 -0.409230
4.230000 1.504468 -2.491227 -0.409251
4.260000 1.427700 -2.623174 -0.409271
4.290000 1.347078 -2.748039 -0.409292
4.320000 1.262818 -2.865485 -0.409312
4.350000 1.175149 -2.975193 -0.409332
4.380000 1.084306 -3.076869 -0.409351
4.410000 0.990536 -3.170236 -0.409369
4.440000 0.894092 -3.255045 -0.409386
4.470000 0.795234 -3.331064 -0.409401
4.500000 0.694228 -3.398090 -0.409415
4.530000 0.591348 -3.455941 -0.409427
4.560000 0.486872 -3.504461 -0.409437
4.590000 0.381081 -3.543519 -0.409446
4.620000 0.274261 -3.573009 -0.409452
4.650000 0.166700 -3.592853 -0.409457
4.680000 0.058690 -3.602995 -0.409459
4.710000 -0.049480 -3.603410 -0.409459
4.740000 -0.157515 -3.594095 -0.409457
4.770000 -0.265125 -3.575076 -0.409453
4.800000 -0.372020 -3.546404 -0.409446
4.830000 -0.477910 -3.508158 -0.409438
4.860000 -0.582509 -3.460439 -0.409428
4.890000 -0.685536 -3.403377 -0.409416
4.920000 -0.786712 -3.337126 -0.409402
4.950000 -0.885763 -3.261864 -0.409387
4.980000 -0.982424 -3.177796 -0.409370
5.010000 -1.076431 -3.085147 -0.409352
5.040000 -1.167532 -2.984169 -0.409334
5.070000 -1.255481 -2.875133 -0.409314
5.100000 -1.340040 -2.758335 -0.409294
5.130000 -1.420981 -2.634089 -0.409273
5.160000 -1.498086 -2.502731 -0.409253
5.190000 -1.571145 -2.364616 -0.409232
5.220000 -1.639963 -2.220116 -0.409212
5.250000 -1.704352 -2.069622 -0.409192
5.280000 -1.764140 -1.913539 -0.409173
