#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.001000
#E' stato utilizzato l'algoritmo Verlet Posizioni
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.001000 2.001000 0.996998 -0.409363
0.002000 2.001994 0.990994 -0.409360
0.003000 2.002982 0.984987 -0.409357
0.004000 2.003964 0.978976 -0.409354
0.005000 2.004940 0.972963 -0.409351
0.006000 2.005910 0.966946 -0.409348
0.007000 2.006874 0.960927 -0.409345
0.008000 2.007832 0.954905 -0.409342
0.009000 2.008784 0.948880 -0.409339
0.010000 2.009730 0.942853 -0.409336
0.011000 2.010669 0.936822 -0.409333
0.012000 2.011603 0.930789 -0.409330
0.013000 2.012531 0.924752 -0.409327
0.014000 2.013453 0.918713 -0.409324
0.015000 2.014368 0.912672 -0.409321
0.016000 2.015278 0.906627 -0.409318
0.017000 2.016182 0.900580 -0.409315
0.018000 2.017079 0.894530 -0.409311
0.019000 2.017971 0.888478 -0.409308
0.020000 2.018856 0.882422 -0.409305
0.021000 2.019736 0.876364 -0.409302
0.022000 2.020609 0.870304 -0.409299
0.023000 2.021476 0.864241 -0.409296
0.024000 2.022337 0.858175 -0.409293
0.025000 2.023192 0.852107 -0.409290
0.026000 2.024042 0.846036 -0.409286
0.027000 2.024885 0.839963 -0.409283
0.028000 2.025721 0.833887 -0.409280
0.029000 2.026552 0.827808 -0.409277
0.030000 2.027377 0.821727 -0.409274
0.031000 2.028196 0.815644 -0.409271
0.032000 2.029008 0.809558 -0.409267
0.033000 2.029815 0.803470 -0.409264
0.034000 2.030615 0.797379 -0.409261
0.035000 2.031410 0.791286 -0.409258
0.036000 2.032198 0.785191 -0.409255
0.037000 2.032980 0.779093 -0.409251
0.038000 2.033756 0.772993 -0.409248
0.039000 2.034526 0.766890 -0.409245
0.040000 2.035290 0.760786 -0.409242
0.041000 2.036048 0.754679 -0.409238
0.042000 2.036799 0.748569 -0.409235
0.043000 2.037545 0.742458 -0.409232
0.044000 2.038284 0.736344 -0.409229
0.045000 2.039017 0.730228 -0.409225
0.046000 2.039745 0.724110 -0.409222
0.047000 2.040466 0.717990 -0.409219
0.048000 2.041181 0.711867 -0.409216
0.049000 2.041889 0.705743 -0.409212
0.050000 2.042592 0.699616 -0.409209
0.051000 2.043289 0.693487 -0.409206
0.052000 2.043979 0.687356 -0.409203
0.053000 2.044663 0.681223 -0.409199
0.054000 2.045341 0.675088 -0.409196
0.055000 2.046013 0.668951 -0.409193
0.056000 2.046679 0.662812 -0.409189
0.057000 2.047339 0.656671 -0.409186
0.058000 2.047993 0.650528 -0.409183
0.059000 2.048640 0.644383 -0.409179
0.060000 2.049281 0.638236 -0.409176
0.061000 2.049917 0.632088 -0.409173
0.062000 2.050546 0.625937 -0.409169
0.063000 2.051169 0.619784 -0.409166
0.064000 2.051785 0.613630 -0.409163
0.065000 2.052396 0.607474 -0.409159
0.066000 2.053000 0.601316 -0.409156
0.067000 2.053598 0.595156 -0.409153
0.068000 2.054190 0.588994 -0.409149
0.069000 2.054776 0.582831 -0.409146
0.070000 2.055356 0.576665 -0.409143
0.071000 2.055930 0.570498 -0.409139
0.072000 2.056497 0.564330 -0.409136
0.073000 2.057058 0.558159 -0.409133
0.074000 2.057613 0.551987 -0.409129
0.075000 2.058162 0.545814 -0.409126
0.076000 2.058705 0.539638 -0.409122
0.077000 2.059242 0.533462 -0.409119
0.078000 2.059772 0.527283 -0.409116
0.079000 2.060296 0.521103 -0.409112
0.080000 2.060814 0.514921 -0.409109
0.081000 2.061326 0.508738 -0.409105
0.082000 2.061832 0.502553 -0.409102
0.083000 2.062331 0.496367 -0.409099
0.084000 2.062824 0.490179 -0.409095
0.085000 2.063312 0.483990 -0.409092
0.086000 2.063792 0.477799 -0.409088
0.087000 2.064267 0.471607 -0.409085
0.088000 2.064736 0.465414 -0.409082
0.089000 2.065198 0.459219 -0.409078
0.090000 2.065654 0.453023 -0.409075
0.091000 2.066104 0.446825 -0.409071
0.092000 2.066548 0.440626 -0.409068
0.093000 2.066985 0.434426 -0.409064
0.094000 2.067417 0.428224 -0.409061
0.095000 2.067842 0.422021 -0.409057
0.096000 2.068261 0.415817 -0.409054
0.097000 2.068673 0.409612 -0.409051
0.098000 2.069080 0.403405 -0.409047
0.099000 2.069480 0.397197 -0.409044
0.100000 2.069874 0.390988 -0.409040
0.101000 2.070262 0.384778 -0.409037
0.102000 2.070644 0.378567 -0.409033
0.103000 2.071019 0.372354 -0.409030
0.104000 2.071388 0.366141 -0.409026
0.105000 2.071752 0.359926 -0.409023
0.106000 2.072108 0.353710 -0.409019
0.107000 2.072459 0.347493 -0.409016
0.108000 2.072803 0.341275 -0.409012
0.109000 2.073141 0.335056 -0.409009
0.110000 2.073473 0.328836 -0.409005
0.111000 2.073799 0.322616 -0.409002
0.112000 2.074119 0.316394 -0.408998
0.113000 2.074432 0.310171 -0.408995
0.114000 2.074739 0.303947 -0.408991
0.115000 2.075040 0.297722 -0.408988
0.116000 2.075334 0.291497 -0.408984
0.117000 2.075623 0.285270 -0.408981
0.118000 2.075905 0.279043 -0.408977
0.119000 2.076181 0.272815 -0.408974
0.120000 2.076451 0.266586 -0.408970
0.121000 2.076714 0.260356 -0.408967
0.122000 2.076971 0.254126 -0.408963
0.123000 2.077222 0.247895 -0.408960
0.124000 2.077467 0.241662 -0.408956
0.125000 2.077706 0.235430 -0.408953
0.126000 2.077938 0.229196 -0.408949
0.127000 2.078164 0.222962 -0.408946
0.128000 2.078384 0.216727 -0.408942
0.129000 2.078598 0.210492 -0.408939
0.130000 2.078805 0.204256 -0.408935
0.131000 2.079006 0.198019 -0.408932
0.132000 2.079201 0.191782 -0.408928
0.133000 2.079390 0.185544 -0.408925
0.134000 2.079572 0.179305 -0.408921
0.135000 2.079748 0.173066 -0.408918
0.136000 2.079918 0.166827 -0.408914
0.137000 2.080082 0.160587 -0.408911
0.138000 2.080239 0.154346 -0.408907
0.139000 2.080391 0.148105 -0.408904
0.140000 2.080536 0.141864 -0.408900
0.141000 2.080674 0.135622 -0.408896
0.142000 2.080807 0.129380 -0.408893
0.143000 2.080933 0.123137 -0.408889
0.144000 2.081053 0.116894 -0.408886
0.145000 2.081167 0.110651 -0.408882
0.146000 2.081274 0.104407 -0.408879
0.147000 2.081376 0.098163 -0.408875
0.148000 2.081471 0.091919 -0.408872
0.149000 2.081559 0.085675 -0.408868
0.150000 2.081642 0.079430 -0.408865
0.151000 2.081718 0.073185 -0.408861
0.152000 2.081788 0.066940 -0.408858
0.153000 2.081852 0.060694 -0.408854
0.154000 2.081910 0.054448 -0.408850
0.155000 2.081961 0.048203 -0.408847
0.156000 2.082006 0.041957 -0.408843
0.157000 2.082045 0.035711 -0.408840
0.158000 2.082078 0.029464 -0.408836
0.159000 2.082104 0.023218 -0.408833
0.160000 2.082124 0.016972 -0.408829
0.161000 2.082138 0.010725 -0.408826
0.162000 2.082146 0.004479 -0.408822
0.163000 2.082147 -0.001767 -0.408819
0.164000 2.082142 -0.008014 -0.408815
0.165000 2.082131 -0.014260 -0.408811
0.166000 2.082113 -0.020507 -0.408808
0.167000 2.082090 -0.026753 -0.408804
0.168000 2.082060 -0.032999 -0.408801
0.169000 2.082024 -0.039245 -0.408797
0.170000 2.081981 -0.045491 -0.408794
0.171000 2.081933 -0.051737 -0.408790
0.172000 2.081878 -0.057983 -0.408787
0.173000 2.081817 -0.064228 -0.408783
0.174000 2.081750 -0.070474 -0.408779
0.175000 2.081676 -0.076719 -0.408776
0.176000 2.081596 -0.082964 -0.408772
0.177000 2.081510 -0.089209 -0.408769
0.178000 2.081418 -0.095453 -0.408765
0.179000 2.081319 -0.101697 -0.408762
0.180000 2.081214 -0.107941 -0.408758
0.181000 2.081103 -0.114184 -0.408755
