#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.010000
#E' stato utilizzato l'algoritmo di Eulero-Cromer
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.010000 2.009400 0.940000 -0.409242
0.020000 2.018197 0.879718 -0.409397
0.030000 2.026389 0.819172 -0.409555
0.040000 2.033973 0.758380 -0.409715
0.050000 2.040946 0.697361 -0.409877
0.060000 2.047308 0.636133 -0.410042
0.070000 2.053055 0.574714 -0.410209
0.080000 2.058186 0.513122 -0.410378
0.090000 2.062700 0.451376 -0.410549
0.100000 2.066595 0.389495 -0.410721
0.110000 2.069870 0.327498 -0.410894
0.120000 2.072524 0.265401 -0.411068
0.130000 2.074556 0.203226 -0.411243
0.140000 2.075966 0.140989 -0.411419
0.150000 2.076753 0.078710 -0.411595
0.160000 2.076917 0.016408 -0.411772
0.170000 2.076458 -0.045900 -0.411948
0.180000 2.075376 -0.108194 -0.412124
0.190000 2.073672 -0.170455 -0.412300
0.200000 2.071345 -0.232665 -0.412475
0.210000 2.068397 -0.294806 -0.412650
0.220000 2.064828 -0.356857 -0.412823
0.230000 2.060640 -0.418802 -0.412995
0.240000 2.055834 -0.480621 -0.413166
0.250000 2.050411 -0.542296 -0.413334
0.260000 2.044373 -0.603809 -0.413501
0.270000 2.037722 -0.665140 -0.413666
0.280000 2.030459 -0.726272 -0.413829
0.290000 2.022587 -0.787185 -0.413989
0.300000 2.014108 -0.847863 -0.414147
0.310000 2.005026 -0.908286 -0.414302
0.320000 1.995341 -0.968437 -0.414453
0.330000 1.985058 -1.028297 -0.414602
0.340000 1.974180 -1.087849 -0.414747
0.350000 1.962709 -1.147074 -0.414888
0.360000 1.950649 -1.205956 -0.415026
0.370000 1.938005 -1.264475 -0.415160
0.380000 1.924778 -1.322615 -0.415290
0.390000 1.910975 -1.380359 -0.415415
0.400000 1.896598 -1.437688 -0.415536
0.410000 1.881652 -1.494586 -0.415653
0.420000 1.866142 -1.551035 -0.415765
0.430000 1.850072 -1.607020 -0.415872
0.440000 1.833446 -1.662522 -0.415975
0.450000 1.816271 -1.717525 -0.416072
0.460000 1.798551 -1.772013 -0.416164
0.470000 1.780291 -1.825970 -0.416251
0.480000 1.761498 -1.879379 -0.416333
0.490000 1.742175 -1.932224 -0.416409
0.500000 1.722330 -1.984489 -0.416479
0.510000 1.701969 -2.036159 -0.416544
0.520000 1.681097 -2.087218 -0.416603
0.530000 1.659720 -2.137651 -0.416656
0.540000 1.637846 -2.187442 -0.416704
0.550000 1.615480 -2.236578 -0.416745
0.560000 1.592629 -2.285042 -0.416781
0.570000 1.569301 -2.332821 -0.416810
0.580000 1.545502 -2.379900 -0.416834
0.590000 1.521240 -2.426265 -0.416851
0.600000 1.496521 -2.471902 -0.416863
0.610000 1.471353 -2.516798 -0.416868
0.620000 1.445743 -2.560938 -0.416867
0.630000 1.419700 -2.604311 -0.416860
0.640000 1.393231 -2.646902 -0.416847
0.650000 1.366344 -2.688699 -0.416828
0.660000 1.339047 -2.729689 -0.416803
0.670000 1.311349 -2.769860 -0.416771
0.680000 1.283257 -2.809201 -0.416734
0.690000 1.254780 -2.847699 -0.416691
0.700000 1.225926 -2.885342 -0.416642
0.710000 1.196705 -2.922120 -0.416587
0.720000 1.167125 -2.958021 -0.416526
0.730000 1.137194 -2.993035 -0.416460
0.740000 1.106923 -3.027150 -0.416387
0.750000 1.076319 -3.060358 -0.416310
0.760000 1.045393 -3.092648 -0.416227
0.770000 1.014153 -3.124010 -0.416138
0.780000 0.982608 -3.154434 -0.416045
0.790000 0.950769 -3.183912 -0.415946
0.800000 0.918645 -3.212435 -0.415842
0.810000 0.886245 -3.239995 -0.415734
0.820000 0.853579 -3.266582 -0.415620
0.830000 0.820657 -3.292190 -0.415502
0.840000 0.787489 -3.316809 -0.415380
0.850000 0.754085 -3.340434 -0.415253
0.860000 0.720454 -3.363056 -0.415122
0.870000 0.686608 -3.384670 -0.414987
0.880000 0.652555 -3.405268 -0.414848
0.890000 0.618307 -3.424845 -0.414706
0.900000 0.583873 -3.443394 -0.414560
0.910000 0.549263 -3.460910 -0.414410
0.920000 0.514490 -3.477388 -0.414258
0.930000 0.479561 -3.492823 -0.414102
0.940000 0.444489 -3.507210 -0.413944
0.950000 0.409284 -3.520544 -0.413783
0.960000 0.373956 -3.532823 -0.413620
0.970000 0.338515 -3.544042 -0.413454
0.980000 0.302973 -3.554197 -0.413287
0.990000 0.267340 -3.563286 -0.413117
1.000000 0.231627 -3.571306 -0.412946
1.010000 0.195845 -3.578255 -0.412774
1.020000 0.160003 -3.584131 -0.412600
1.030000 0.124114 -3.588931 -0.412426
1.040000 0.088188 -3.592654 -0.412250
1.050000 0.052235 -3.595300 -0.412074
1.060000 0.016266 -3.596867 -0.411898
1.070000 -0.019708 -3.597355 -0.411722
1.080000 -0.055675 -3.596764 -0.411545
1.090000 -0.091626 -3.595093 -0.411369
1.100000 -0.127550 -3.592345 -0.411193
1.110000 -0.163435 -3.588518 -0.411018
1.120000 -0.199271 -3.583615 -0.410844
1.130000 -0.235047 -3.577637 -0.410671
1.140000 -0.270753 -3.570585 -0.410500
1.150000 -0.306378 -3.562463 -0.410330
1.160000 -0.341911 -3.553272 -0.410161
1.170000 -0.377341 -3.543014 -0.409995
1.180000 -0.412658 -3.531694 -0.409831
1.190000 -0.447851 -3.519314 -0.409669
1.200000 -0.482910 -3.505879 -0.409510
1.210000 -0.517824 -3.491391 -0.409353
1.220000 -0.552582 -3.475857 -0.409199
1.230000 -0.587175 -3.459279 -0.409048
1.240000 -0.621592 -3.441664 -0.408901
1.250000 -0.655822 -3.423016 -0.408757
1.260000 -0.689855 -3.403342 -0.408617
1.270000 -0.723682 -3.382646 -0.408480
1.280000 -0.757291 -3.360936 -0.408347
1.290000 -0.790673 -3.338217 -0.408219
1.300000 -0.823818 -3.314497 -0.408095
1.310000 -0.856716 -3.289782 -0.407975
1.320000 -0.889357 -3.264081 -0.407860
1.330000 -0.921731 -3.237400 -0.407749
1.340000 -0.953828 -3.209748 -0.407643
1.350000 -0.985639 -3.181133 -0.407543
1.360000 -1.017155 -3.151564 -0.407447
1.370000 -1.048366 -3.121049 -0.407356
1.380000 -1.079262 -3.089598 -0.407271
1.390000 -1.109834 -3.057220 -0.407191
1.400000 -1.140073 -3.023925 -0.407117
1.410000 -1.169970 -2.989723 -0.407048
1.420000 -1.199517 -2.954624 -0.406985
1.430000 -1.228703 -2.918639 -0.406928
1.440000 -1.257521 -2.881778 -0.406877
1.450000 -1.285961 -2.844052 -0.406831
1.460000 -1.314016 -2.805473 -0.406791
1.470000 -1.341676 -2.766053 -0.406758
1.480000 -1.368934 -2.725802 -0.406730
1.490000 -1.395782 -2.684734 -0.406708
1.500000 -1.422210 -2.642861 -0.406693
1.510000 -1.448212 -2.600195 -0.406683
1.520000 -1.473780 -2.556748 -0.406680
1.530000 -1.498905 -2.512535 -0.406683
1.540000 -1.523581 -2.467568 -0.406692
1.550000 -1.547799 -2.421860 -0.406707
1.560000 -1.571554 -2.375426 -0.406728
1.570000 -1.594837 -2.328280 -0.406755
1.580000 -1.617641 -2.280435 -0.406788
1.590000 -1.639960 -2.231905 -0.406827
1.600000 -1.661787 -2.182706 -0.406872
1.610000 -1.683116 -2.132853 -0.406923
1.620000 -1.703939 -2.082359 -0.406980
1.630000 -1.724252 -2.031241 -0.407042
1.640000 -1.744047 -1.979514 -0.407110
1.650000 -1.763319 -1.927192 -0.407184
1.660000 -1.782062 -1.874293 -0.407263
1.670000 -1.800270 -1.820831 -0.407348
1.680000 -1.817938 -1.766823 -0.407438
1.690000 -1.835061 -1.712285 -0.407533
1.700000 -1.851633 -1.657233 -0.407634
1.710000 -1.867650 -1.601684 -0.407739
1.720000 -1.883107 -1.545654 -0.407849
1.730000 -1.897998 -1.489161 -0.407964
1.740000 -1.912320 -1.432221 -0.408083
1.750000 -1.926069 -1.374852 -0.408207
1.760000 -1.939240 -1.317069 -0.408335
1.770000 -1.951829 -1.258892 -0.408468
1.780000 -1.963832 -1.200337 -0.408604
1.790000 -1.975246 -1.141422 -0.408744
1.800000 -1.986068 -1.082165 -0.408887
1.810000 -1.996294 -1.022583 -0.409034
1.820000 -2.005921 -0.962694 -0.409185
1.830000 -2.014946 -0.902517 -0.409338
1.840000 -2.023366 -0.842068 -0.409495
1.850000 -2.031180 -0.781367 -0.409654
1.860000 -2.038384 -0.720432 -0.409816
1.870000 -2.044977 -0.659280 -0.409980
1.880000 -2.050957 -0.597931 -0.410146
1.890000 -2.056321 -0.536402 -0.410314
1.900000 -2.061068 -0.474713 -0.410484
1.910000 -2.065197 -0.412881 -0.410655
1.920000 -2.068706 -0.350925 -0.410828
1.930000 -2.071594 -0.288864 -0.411002
1.940000 -2.073862 -0.226716 -0.411177
1.950000 -2.075507 -0.164500 -0.411353
1.960000 -2.076529 -0.102235 -0.411529
1.970000 -2.076928 -0.039939 -0.411705
1.980000 -2.076705 0.022369 -0.411882
1.990000 -2.075858 0.084670 -0.412058
2.000000 -2.074388 0.146946 -0.412234
2.010000 -2.072297 0.209178 -0.412409
2.020000 -2.069583 0.271346 -0.412584
2.030000 -2.066249 0.333434 -0.412758
2.040000 -2.062295 0.395421 -0.412930
2.050000 -2.057722 0.457290 -0.413101
2.060000 -2.052532 0.519022 -0.413271
2.070000 -2.046726 0.580598 -0.413439
2.080000 -2.040306 0.642000 -0.413604
2.090000 -2.033273 0.703209 -0.413768
2.100000 -2.025631 0.764207 -0.413929
2.110000 -2.017382 0.824976 -0.414088
2.120000 -2.008527 0.885497 -0.414243
2.130000 -1.999069 0.945753 -0.414396
2.140000 -1.989012 1.005725 -0.414546
2.150000 -1.978358 1.065396 -0.414692
2.160000 -1.967110 1.124746 -0.414835
2.170000 -1.955273 1.183760 -0.414974
2.180000 -1.942849 1.242418 -0.415110
2.190000 -1.929842 1.300703 -0.415241
2.200000 -1.916256 1.358599 -0.415368
2.210000 -1.902095 1.416086 -0.415491
2.220000 -1.887363 1.473149 -0.415610
2.230000 -1.872066 1.529770 -0.415723
2.240000 -1.856206 1.585932 -0.415832
2.250000 -1.839790 1.641618 -0.415937
2.260000 -1.822822 1.696812 -0.416036
2.270000 -1.805307 1.751496 -0.416130
2.280000 -1.787250 1.805656 -0.416219
2.290000 -1.768658 1.859273 -0.416302
2.300000 -1.749534 1.912333 -0.416380
2.310000 -1.729886 1.964819 -0.416453
2.320000 -1.709719 2.016716 -0.416520
2.330000 -1.689039 2.068007 -0.416581
2.340000 -1.667852 2.118678 -0.416637
2.350000 -1.646165 2.168714 -0.416686
2.360000 -1.623984 2.218099 -0.416730
2.370000 -1.601316 2.266818 -0.416768
2.380000 -1.578167 2.314858 -0.416800
2.390000 -1.554545 2.362203 -0.416826
2.400000 -1.530457 2.408839 -0.416845
2.410000 -1.505909 2.454753 -0.416859
2.420000 -1.480910 2.499930 -0.416867
2.430000 -1.455467 2.544357 -0.416868
2.440000 -1.429586 2.588021 -0.416863
2.450000 -1.403277 2.630909 -0.416853
2.460000 -1.376547 2.673007 -0.416836
2.470000 -1.349404 2.714304 -0.416813
2.480000 -1.321856 2.754786 -0.416784
2.490000 -1.293912 2.794442 -0.416749
2.500000 -1.265579 2.833259 -0.416708
2.510000 -1.236867 2.871226 -0.416661
2.520000 -1.207784 2.908332 -0.416608
2.530000 -1.178338 2.944566 -0.416550
2.540000 -1.148539 2.979916 -0.416485
2.550000 -1.118395 3.014372 -0.416415
2.560000 -1.087916 3.047924 -0.416340
2.570000 -1.057110 3.080561 -0.416259
2.580000 -1.025988 3.112275 -0.416172
2.590000 -0.994557 3.143054 -0.416081
2.600000 -0.962828 3.172891 -0.415984
2.610000 -0.930810 3.201776 -0.415882
2.620000 -0.898513 3.229700 -0.415775
2.630000 -0.865947 3.256656 -0.415664
2.640000 -0.833120 3.282634 -0.415547
2.650000 -0.800044 3.307628 -0.415427
2.660000 -0.766728 3.331629 -0.415302
2.670000 -0.733182 3.354631 -0.415172
2.680000 -0.699415 3.376626 -0.415039
2.690000 -0.665439 3.397609 -0.414901
2.700000 -0.631263 3.417572 -0.414760
2.710000 -0.596898 3.436510 -0.414615
2.720000 -0.562354 3.454417 -0.414467
2.730000 -0.527641 3.471287 -0.414316
2.740000 -0.492770 3.487117 -0.414161
2.750000 -0.457751 3.501900 -0.414004
2.760000 -0.422595 3.515632 -0.413844
2.770000 -0.387312 3.528310 -0.413682
2.780000 -0.351912 3.539929 -0.413517
2.790000 -0.316408 3.550487 -0.413350
2.800000 -0.280808 3.559979 -0.413181
2.810000 -0.245124 3.568403 -0.413011
2.820000 -0.209366 3.575757 -0.412839
2.830000 -0.173546 3.582038 -0.412666
2.840000 -0.137673 3.587244 -0.412492
2.850000 -0.101760 3.591375 -0.412317
2.860000 -0.065815 3.594427 -0.412141
2.870000 -0.029851 3.596402 -0.411965
2.880000 0.006122 3.597297 -0.411788
2.890000 0.042093 3.597114 -0.411612
2.900000 0.078051 3.595851 -0.411435
2.910000 0.113986 3.593509 -0.411260
2.920000 0.149887 3.590090 -0.411084
2.930000 0.185743 3.585593 -0.410910
2.940000 0.221543 3.580021 -0.410737
2.950000 0.257277 3.573375 -0.410565
2.960000 0.292934 3.565656 -0.410394
2.970000 0.328502 3.556868 -0.410225
2.980000 0.363973 3.547013 -0.410058
2.990000 0.399334 3.536094 -0.409893
3.000000 0.434575 3.524114 -0.409730
3.010000 0.469685 3.511077 -0.409569
3.020000 0.504655 3.496986 -0.409412
3.030000 0.539474 3.481847 -0.409257
3.040000 0.574130 3.465662 -0.409105
3.050000 0.608615 3.448438 -0.408956
3.060000 0.642917 3.430180 -0.408811
3.070000 0.677025 3.410892 -0.408669
3.080000 0.710931 3.390582 -0.408531
3.090000 0.744624 3.369254 -0.408397
3.100000 0.778093 3.346915 -0.408267
3.110000 0.811329 3.323572 -0.408141
3.120000 0.844321 3.299232 -0.408020
3.130000 0.877060 3.273903 -0.407903
3.140000 0.909536 3.247591 -0.407790
3.150000 0.941739 3.220305 -0.407683
3.160000 0.973660 3.192053 -0.407580
3.170000 1.005288 3.162843 -0.407482
3.180000 1.036615 3.132684 -0.407390
3.190000 1.067631 3.101586 -0.407303
3.200000 1.098326 3.069557 -0.407221
3.210000 1.128692 3.036607 -0.407144
3.220000 1.158720 3.002746 -0.407074
3.230000 1.188400 2.967985 -0.407008
3.240000 1.217723 2.932333 -0.406949
3.250000 1.246681 2.895801 -0.406895
3.260000 1.275265 2.858401 -0.406847
3.270000 1.303466 2.820143 -0.406806
3.280000 1.331277 2.781039 -0.406770
3.290000 1.358688 2.741100 -0.406740
3.300000 1.385691 2.700340 -0.406716
3.310000 1.412279 2.658769 -0.406698
3.320000 1.438443 2.616401 -0.406686
3.330000 1.464175 2.573247 -0.406680
3.340000 1.489469 2.529322 -0.406681
3.350000 1.514315 2.484638 -0.406687
3.360000 1.538707 2.439209 -0.406700
3.370000 1.562638 2.393047 -0.406719
3.380000 1.586099 2.346168 -0.406744
3.390000 1.609085 2.298585 -0.406775
3.400000 1.631588 2.250313 -0.406811
3.410000 1.653602 2.201365 -0.406854
3.420000 1.675119 2.151757 -0.406903
3.430000 1.696134 2.101503 -0.406958
3.440000 1.716641 2.050619 -0.407018
3.450000 1.736632 1.999120 -0.407084
3.460000 1.756102 1.947021 -0.407156
3.470000 1.775045 1.894338 -0.407233
3.480000 1.793456 1.841087 -0.407316
3.490000 1.811329 1.787283 -0.407404
3.500000 1.828659 1.732943 -0.407497
3.510000 1.845439 1.678084 -0.407595
3.520000 1.861667 1.622720 -0.407699
3.530000 1.877335 1.566870 -0.407807
3.540000 1.892441 1.510550 -0.407920
3.550000 1.906979 1.453777 -0.408038
3.560000 1.920944 1.396568 -0.408160
3.570000 1.934334 1.338939 -0.408286
3.580000 1.947143 1.280909 -0.408417
3.590000 1.959368 1.222495 -0.408552
3.600000 1.971005 1.163714 -0.408690
3.610000 1.982051 1.104584 -0.408833
3.620000 1.992502 1.045122 -0.408979
3.630000 2.002355 0.985347 -0.409128
3.640000 2.011608 0.925277 -0.409280
3.650000 2.020257 0.864928 -0.409435
3.660000 2.028301 0.804321 -0.409594
3.670000 2.035735 0.743472 -0.409754
3.680000 2.042559 0.682400 -0.409917
3.690000 2.048771 0.621123 -0.410083
3.700000 2.054367 0.559660 -0.410250
3.710000 2.059347 0.498029 -0.410420
3.720000 2.063710 0.436248 -0.410591
3.730000 2.067453 0.374337 -0.410763
3.740000 2.070576 0.312313 -0.410936
3.750000 2.073078 0.250196 -0.411111
3.760000 2.074958 0.188004 -0.411286
3.770000 2.076216 0.125755 -0.411462
3.780000 2.076851 0.063469 -0.411638
3.790000 2.076862 0.001163 -0.411815
3.800000 2.076251 -0.061143 -0.411991
3.810000 2.075017 -0.123430 -0.412167
3.820000 2.073160 -0.185681 -0.412343
3.830000 2.070681 -0.247876 -0.412518
3.840000 2.067581 -0.309996 -0.412692
3.850000 2.063861 -0.372024 -0.412865
3.860000 2.059521 -0.433939 -0.413037
3.870000 2.054564 -0.495725 -0.413207
3.880000 2.048991 -0.557362 -0.413375
3.890000 2.042802 -0.618832 -0.413542
3.900000 2.036001 -0.680116 -0.413706
3.910000 2.028589 -0.741196 -0.413869
3.920000 2.020569 -0.802053 -0.414028
3.930000 2.011942 -0.862670 -0.414185
3.940000 2.002712 -0.923029 -0.414339
3.950000 1.992880 -0.983110 -0.414490
3.960000 1.982452 -1.042897 -0.414637
3.970000 1.971428 -1.102370 -0.414782
3.980000 1.959813 -1.161513 -0.414922
3.990000 1.947610 -1.220307 -0.415059
4.000000 1.934822 -1.278736 -0.415192
4.010000 1.921454 -1.336780 -0.415321
4.020000 1.907510 -1.394424 -0.415445
4.030000 1.892994 -1.451649 -0.415565
