#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.050000
#E' stato utilizzato l'algoritmo Verlet Posizioni
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.050000 2.050000 0.846250 -0.421994
0.100000 2.084625 0.536153 -0.413865
0.150000 2.103615 0.222035 -0.405169
0.200000 2.106829 -0.093748 -0.396165
0.250000 2.094240 -0.408828 -0.387122
0.300000 2.065946 -0.720842 -0.378312
0.350000 2.022156 -1.027450 -0.369998
0.400000 1.963201 -1.326352 -0.362429
0.450000 1.889521 -1.615306 -0.355833
0.500000 1.801670 -1.892145 -0.350405
0.550000 1.700307 -2.154793 -0.346310
0.600000 1.586191 -2.401281 -0.343669
0.650000 1.460178 -2.629758 -0.342562
0.700000 1.323215 -2.838513 -0.343022
0.750000 1.176327 -3.025979 -0.345035
0.800000 1.020617 -3.190749 -0.348540
0.850000 0.857252 -3.331590 -0.353433
0.900000 0.687458 -3.447443 -0.359568
0.950000 0.512508 -3.537440 -0.366760
1.000000 0.333714 -3.600907 -0.374794
1.050000 0.152417 -3.637367 -0.383430
1.100000 -0.030023 -3.646546 -0.392409
1.150000 -0.212237 -3.628377 -0.401463
1.200000 -0.392860 -3.582995 -0.410319
1.250000 -0.570537 -3.510740 -0.418713
1.300000 -0.743934 -3.412154 -0.426394
1.350000 -0.911752 -3.287978 -0.433131
1.400000 -1.072732 -3.139142 -0.438723
1.450000 -1.225666 -2.966762 -0.443003
1.500000 -1.369408 -2.772131 -0.445842
1.550000 -1.502880 -2.556710 -0.447154
1.600000 -1.625079 -2.322113 -0.446902
1.650000 -1.735091 -2.070100 -0.445093
1.700000 -1.832089 -1.802561 -0.441780
1.750000 -1.915347 -1.521504 -0.437062
1.800000 -1.984240 -1.229035 -0.431082
1.850000 -2.038250 -0.927348 -0.424018
1.900000 -2.076974 -0.618706 -0.416082
1.950000 -2.100121 -0.305424 -0.407511
2.000000 -2.107517 0.010149 -0.398562
2.050000 -2.099106 0.325646 -0.389503
2.100000 -2.074952 0.638700 -0.380606
2.150000 -2.035236 0.946964 -0.372135
