#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.005000
#E' stato utilizzato l'algoritmo di Eulero-Cromer
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.005000 2.004850 0.970000 -0.409129
0.010000 2.009550 0.939927 -0.409167
0.015000 2.014099 0.909784 -0.409205
0.020000 2.018496 0.879573 -0.409244
0.025000 2.022743 0.849295 -0.409283
0.030000 2.026838 0.818954 -0.409323
0.035000 2.030780 0.788551 -0.409363
0.040000 2.034571 0.758090 -0.409403
0.045000 2.038209 0.727571 -0.409443
0.050000 2.041694 0.696998 -0.409484
0.055000 2.045026 0.666373 -0.409525
0.060000 2.048204 0.635697 -0.409567
0.065000 2.051229 0.604974 -0.409608
0.070000 2.054100 0.574206 -0.409650
0.075000 2.056817 0.543394 -0.409693
0.080000 2.059380 0.512542 -0.409735
0.085000 2.061788 0.481651 -0.409777
0.090000 2.064042 0.450724 -0.409820
0.095000 2.066140 0.419764 -0.409863
0.100000 2.068084 0.388772 -0.409906
0.105000 2.069873 0.357750 -0.409950
0.110000 2.071506 0.326702 -0.409993
0.115000 2.072985 0.295630 -0.410037
0.120000 2.074307 0.264535 -0.410080
0.125000 2.075474 0.233420 -0.410124
0.130000 2.076486 0.202288 -0.410168
0.135000 2.077342 0.171141 -0.410212
0.140000 2.078041 0.139981 -0.410256
0.145000 2.078585 0.108810 -0.410300
0.150000 2.078974 0.077631 -0.410345
0.155000 2.079206 0.046447 -0.410389
0.160000 2.079282 0.015259 -0.410433
0.165000 2.079203 -0.015930 -0.410477
0.170000 2.078967 -0.047119 -0.410521
0.175000 2.078575 -0.078303 -0.410566
0.180000 2.078028 -0.109482 -0.410610
0.185000 2.077325 -0.140652 -0.410654
0.190000 2.076466 -0.171812 -0.410698
0.195000 2.075451 -0.202959 -0.410742
0.200000 2.074280 -0.234091 -0.410786
0.205000 2.072954 -0.265205 -0.410829
0.210000 2.071473 -0.296299 -0.410873
0.215000 2.069836 -0.327371 -0.410917
0.220000 2.068044 -0.358419 -0.410960
0.225000 2.066097 -0.389440 -0.411003
0.230000 2.063995 -0.420431 -0.411046
0.235000 2.061738 -0.451391 -0.411089
0.240000 2.059326 -0.482317 -0.411132
0.245000 2.056760 -0.513207 -0.411174
0.250000 2.054040 -0.544058 -0.411216
0.255000 2.051165 -0.574869 -0.411259
0.260000 2.048137 -0.605636 -0.411300
0.265000 2.044955 -0.636358 -0.411342
0.270000 2.041620 -0.667033 -0.411383
0.275000 2.038132 -0.697657 -0.411424
0.280000 2.034491 -0.728229 -0.411465
0.285000 2.030697 -0.758746 -0.411505
0.290000 2.026751 -0.789207 -0.411545
0.295000 2.022653 -0.819608 -0.411585
0.300000 2.018403 -0.849948 -0.411624
0.305000 2.014002 -0.880224 -0.411663
0.310000 2.009450 -0.910434 -0.411702
0.315000 2.004747 -0.940576 -0.411740
0.320000 1.999894 -0.970647 -0.411778
0.325000 1.994891 -1.000645 -0.411816
0.330000 1.989738 -1.030569 -0.411853
0.335000 1.984436 -1.060415 -0.411889
0.340000 1.978985 -1.090181 -0.411926
0.345000 1.973386 -1.119866 -0.411961
0.350000 1.967638 -1.149467 -0.411997
0.355000 1.961743 -1.178981 -0.412031
0.360000 1.955701 -1.208408 -0.412066
0.365000 1.949513 -1.237743 -0.412100
0.370000 1.943178 -1.266986 -0.412133
0.375000 1.936697 -1.296133 -0.412166
0.380000 1.930071 -1.325184 -0.412198
0.385000 1.923300 -1.354135 -0.412230
0.390000 1.916385 -1.382984 -0.412262
0.395000 1.909327 -1.411730 -0.412292
0.400000 1.902125 -1.440370 -0.412323
0.405000 1.894780 -1.468902 -0.412352
0.410000 1.887294 -1.497324 -0.412381
0.415000 1.879666 -1.525633 -0.412410
0.420000 1.871896 -1.553828 -0.412438
0.425000 1.863987 -1.581907 -0.412465
0.430000 1.855938 -1.609866 -0.412492
0.435000 1.847749 -1.637705 -0.412518
0.440000 1.839422 -1.665422 -0.412543
0.445000 1.830957 -1.693013 -0.412568
0.450000 1.822355 -1.720477 -0.412592
0.455000 1.813615 -1.747813 -0.412616
0.460000 1.804740 -1.775017 -0.412639
0.465000 1.795730 -1.802088 -0.412661
0.470000 1.786585 -1.829024 -0.412683
0.475000 1.777306 -1.855823 -0.412703
0.480000 1.767893 -1.882482 -0.412724
0.485000 1.758348 -1.909001 -0.412743
0.490000 1.748671 -1.935376 -0.412762
0.495000 1.738863 -1.961606 -0.412780
0.500000 1.728925 -1.987689 -0.412798
0.505000 1.718857 -2.013623 -0.412814
0.510000 1.708660 -2.039406 -0.412830
0.515000 1.698335 -2.065036 -0.412846
0.520000 1.687882 -2.090511 -0.412860
0.525000 1.677303 -2.115829 -0.412874
0.530000 1.666598 -2.140988 -0.412887
0.535000 1.655768 -2.165987 -0.412900
0.540000 1.644814 -2.190824 -0.412911
0.545000 1.633736 -2.215496 -0.412922
