#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.100000
#E' stato utilizzato l'algoritmo Verlet Posizioni
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.100000 2.100000 0.685000 -0.433217
0.200000 2.137000 0.049450 -0.398525
0.300000 2.109890 -0.587583 -0.361565
0.400000 2.019483 -1.206989 -0.326739
0.500000 1.868492 -1.790186 -0.298195
0.600000 1.661446 -2.319677 -0.279332
0.700000 1.404557 -2.779577 -0.272397
0.800000 1.105531 -3.156090 -0.278216
0.900000 0.773339 -3.437921 -0.296096
1.000000 0.417947 -3.616613 -0.323907
1.100000 0.050016 -3.686808 -0.358337
1.200000 -0.319415 -3.646398 -0.395285
1.300000 -0.679263 -3.496596 -0.430352
1.400000 -1.018734 -3.241897 -0.459360
1.500000 -1.327643 -2.889940 -0.478854
1.600000 -1.596722 -2.451285 -0.486513
1.700000 -1.817900 -1.939092 -0.481425
1.800000 -1.984541 -1.368726 -0.464196
1.900000 -2.091645 -0.757298 -0.436877
2.000000 -2.136000 -0.123151 -0.402723
2.100000 -2.116275 0.514690 -0.365800
2.200000 -2.033062 1.137091 -0.330507
2.300000 -1.888857 1.725379 -0.301047
2.400000 -1.687986 2.261905 -0.280929
2.500000 -1.436476 2.730574 -0.272549
2.600000 -1.141872 3.117327 -0.276904
2.700000 -0.813011 3.410559 -0.293476
2.800000 -0.459760 3.601475 -0.320292
2.900000 -0.092716 3.684346 -0.354157
3.000000 0.277109 3.656687 -0.391039
3.100000 0.638621 3.519327 -0.426544
3.200000 0.980975 3.276388 -0.456444
3.300000 1.293899 2.935157 -0.477178
3.400000 1.568006 2.505871 -0.486277
3.500000 1.795073 2.001409 -0.482656
3.600000 1.968288 1.436905 -0.466747
3.700000 2.082454 0.829293 -0.440445
3.800000 2.134147 0.196803 -0.406883
3.900000 2.121815 -0.441591 -0.370057
4.000000 2.045829 -1.066737 -0.334353
4.100000 1.908467 -1.659882 -0.304025
4.200000 1.713852 -2.203230 -0.282683
4.300000 1.467821 -2.680481 -0.272871
4.400000 1.177756 -3.077317 -0.275755
4.500000 0.852358 -3.381834 -0.290994
4.600000 0.501389 -3.584897 -0.316772
4.700000 0.135379 -3.680412 -0.350018
4.800000 -0.234693 -3.665515 -0.386774
4.900000 -0.597724 -3.540652 -0.422661
5.000000 -0.942824 -3.309570 -0.453406
5.100000 -1.259638 -2.979200 -0.475346
5.200000 -1.538664 -2.559455 -0.485869
5.300000 -1.771529 -2.062926 -0.483722
5.400000 -1.951249 -1.504510 -0.469159
5.500000 -2.072431 -0.900958 -0.443916
5.600000 -2.131440 -0.270377 -0.410999
5.700000 -2.126506 0.368315 -0.374329
5.800000 -2.057777 0.995958 -0.338272
5.900000 -1.927315 1.593722 -0.307123
6.000000 -1.739033 2.143674 -0.284592
6.100000 -1.498580 2.629316 -0.273363
6.200000 -1.213170 3.036078 -0.274773
6.300000 -0.891364 3.351759 -0.288653
6.400000 -0.542818 3.566886 -0.313352
6.500000 -0.177987 3.675007 -0.345926
6.600000 0.192183 3.672877 -0.382497
6.700000 0.556588 3.560562 -0.418709
6.800000 0.904296 3.341429 -0.450249
6.900000 1.224874 3.022054 -0.473361
7.000000 1.508706 2.612017 -0.485292
7.100000 1.747277 2.123619 -0.484621
7.200000 1.933430 1.571513 -0.471428
7.300000 2.061580 0.972261 -0.447284
7.400000 2.127882 0.343842 -0.415065
7.500000 2.130348 -0.294892 -0.378609
7.600000 2.068904 -0.924780 -0.342256
7.700000 1.945392 -1.526925 -0.310337
7.800000 1.763519 -2.083261 -0.286653
7.900000 1.528740 -2.577100 -0.274025
8.000000 1.248099 -2.993626 -0.273958
8.100000 0.930015 -3.320343 -0.286458
8.200000 0.584030 -3.547450 -0.310037
8.300000 0.220525 -3.668133 -0.341888
8.400000 -0.149596 -3.678772 -0.378215
8.500000 -0.515230 -3.579048 -0.414694
8.600000 -0.865406 -3.371953 -0.446979
8.700000 -1.189620 -3.063699 -0.471226
8.800000 -1.478146 -2.663534 -0.484545
8.900000 -1.722327 -2.183463 -0.485352
9.000000 -1.914839 -1.637888 -0.473550
9.100000 -2.049905 -1.043177 -0.450544
9.200000 -2.123474 -0.417170 -0.419075
9.300000 -2.133339 0.221352 -0.382890
9.400000 -2.079204 0.853233 -0.346300
9.500000 -1.962692 1.459518 -0.313661
9.600000 -1.787300 2.022016 -0.288862
9.700000 -1.558289 2.523855 -0.274856
9.800000 -1.282529 2.949977 -0.273311
9.900000 -0.968293 3.287601 -0.284411
10.000000 -0.625009 3.526596 -0.306834
10.100000 -0.262974 3.659794 -0.337909
10.200000 0.106950 3.683197 -0.373936
10.300000 0.473665 3.596105 -0.410623
10.400000 0.826171 3.401130 -0.443602
10.500000 1.153891 3.104120 -0.468944
10.600000 1.446995 2.713987 -0.483631
10.700000 1.696689 2.242435 -0.485914
10.800000 1.895482 1.703609 -0.475521
10.900000 2.037411 1.113675 -0.453690
11.000000 2.118217 0.490331 -0.423020
11.100000 2.135477 -0.147723 -0.387166
11.200000 2.088672 -0.781345 -0.350396
11.300000 1.979208 -1.391527 -0.317091
11.400000 1.810367 -1.959963 -0.291216
11.500000 1.587215 -2.469601 -0.275854
11.600000 1.316447 -2.905150 -0.272834
11.700000 1.006185 -3.253545 -0.282516
11.800000 0.665738 -3.504333 -0.303747
11.900000 0.305319 -3.649992 -0.333997
12.000000 -0.064260 -3.686150 -0.369665
12.100000 -0.431912 -3.611725 -0.406503
12.200000 -0.786605 -3.428947 -0.440122
12.300000 -1.117701 -3.143301 -0.466519
12.400000 -1.415266 -2.763356 -0.482550
12.500000 -1.670372 -2.300510 -0.486306
12.600000 -1.875368 -1.768649 -0.477339
12.700000 -2.024102 -1.183729 -0.456717
12.800000 -2.112113 -0.563297 -0.426897
12.900000 -2.136761 0.074035 -0.391429
13.000000 -2.097307 0.709145 -0.354539
13.100000 -1.994932 1.322981 -0.320620
13.200000 -1.832710 1.897127 -0.293711
13.300000 -1.615507 2.414360 -0.277017
13.400000 -1.349838 2.859162 -0.272528
13.500000 -1.043675 3.218189 -0.280776
13.600000 -0.706201 3.480670 -0.300780
13.700000 -0.347541 3.638731 -0.330158
13.800000 0.021545 3.687630 -0.365410
13.900000 0.389985 3.625901 -0.402339
14.000000 0.746726 3.455394 -0.436545
14.100000 1.081064 3.181226 -0.463955
14.200000 1.382971 2.811620 -0.481304
14.300000 1.643388 2.357667 -0.486527
14.400000 1.854504 1.832983 -0.479000
14.500000 2.009985 1.253309 -0.459621
14.600000 2.105166 0.636037 -0.430697
14.700000 2.137192 -0.000317 -0.395674
14.800000 2.105103 -0.636661 -0.358722
14.900000 2.009860 -1.253905 -0.324243
15.000000 1.854321 -1.833533 -0.296343
15.100000 1.643153 -2.358154 -0.278345
15.200000 1.382691 -2.812030 -0.272392
15.300000 1.080747 -3.181546 -0.279194
15.400000 0.746381 -3.455616 -0.297940
15.500000 0.389624 -3.626016 -0.326398
15.600000 0.021178 -3.687637 -0.361178
15.700000 -0.347903 -3.638628 -0.398138
