#Posizione iniziale-->10
#Velocita' iniziale-->-1.2
#Passo di integrazione-->0.01
#Tempo massimo di integrazione-->40
#Numero di passi-->4000
#E' stato utilizzato l'algoritmo Leap Frog
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
40 34.79610049372523 1.25813135111071 0.00000016681764 0.01
40 34.79603989249618 1.25813127238990 0.00000004170443 0.005
40 34.79602474445417 1.25813125270968 0.00000001042611 0.0025
40 34.79602095758450 1.25813124778961 0.00000000260650 0.00125
40 34.79602001087680 1.25813124655962 0.00000000065165 0.000625
40 34.79601977420140 1.25813124625214 0.00000000016296 0.0003125
40 34.79601971503127 1.25813124617524 0.00000000004073 0.00015625
40 34.79601970024014 1.25813124615611 0.00000000001034 7.8125e-05
40 34.79601969654032 1.25813124615117 0.00000000000248 3.90625e-05
40 34.79601969561695 1.25813124615006 0.00000000000072 1.95313e-05
